LABELS;S_9;S_2;C_9;S_1;S_0;S_8;S_3;C_2;S_7;C_8;C_0;S_4;C_7;C_1;C_3;S_5;S_6;C_5;C_6;C_4
JOB ID;9;2;9;1;0;8;3;2;7;8;0;4;7;1;3;5;6;5;6;4
EVENT TYPE;0;0;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1
TIME;0.38;3.6270760233918127;3.6270760233918127;7.070285087719296;7.39;8.36;10.85;12.6;12.6;12.6;14.28;14.28;14.28;14.38;14.38;14.38;14.38;19.7;19.7;19.95
RESOURCE JOB 0;0.0;0.0;0.0;0.0;30.603500000000004;28.70540000000002;28.716699999999978;0.0;5.5944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;4.373700000000014;13.269599999999997;27.44229999999999;4.34;0.0;4.166400000000003;0.0;0.0;0.24800000000000466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;62.383259868421064;0.0;1.5250401315789546;4.626899999999999;11.877299999999998;8.347499999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;44.59080000000003;0.0;43.0192;0.0;0.0;3.5499999999999687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2020000000000266;0.0;0.0;0.0;72.40299999999998;0.0;0.0;3.0049999999999955;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.63;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;56.474999999999994;1.5050000000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;66.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
