LABELS;S_0;S_8;S_6;S_9;C_0;S_3;S_2;C_9;S_4;C_8;C_2;C_6;S_7;C_3;S_5;C_7;S_1;C_4;C_5;C_1
JOB ID;0;8;6;9;0;3;2;9;4;8;2;6;7;3;5;7;1;4;5;1
EVENT TYPE;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1
TIME;0.02;1.0630758633745079;1.9705688876215803;1.9705688876215803;5.34;5.34;6.571933763637258;6.571933763637258;7.557083265298385;7.557083265298385;9.687839195979898;9.687839195979898;9.687839195979898;12.12;12.12;12.12;13.385899122807016;13.385899122807016;13.385899122807016;14.59
RESOURCE JOB 0;30.578604702815035;9.147529684410491;33.96386561277447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.71;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.71152292358795;0.0;59.12847707641198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;14.832482514192577;0.0;0.0;0.0;0.0;25.65430140540542;29.283216080402013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.339987413486583;29.404824120603053;0.0;0.0;0.0;29.425188465910367;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.09;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;74.74951959798996;0.0;4.287129497457659;0.0;0.0;3.4283202657807195;0.0;7.415030638771665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.920000000000044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;36.22712152794314;27.76411236599818;0.0;10.151134212371005;0.0;0.0;8.11763189368768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;31.994058042158358;0.0;32.325941957841636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
