LABELS;S_6;S_1;S_5;C_6;S_7;S_3;C_5;C_7;S_4;S_0;C_1;C_3;C_0;S_2;S_9;C_4;S_8;C_8;C_2;C_9
JOB ID;6;1;5;6;7;3;5;7;4;0;1;3;0;2;9;4;8;8;2;9
EVENT TYPE;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0;1;1;1
TIME;0.0;2.37;2.37;2.37;2.37;4.368582625734817;4.368582625734817;6.299999999999999;6.3;6.300000000000001;6.300000000000001;6.301819836214742;8.829572773352643;8.829572773352643;9.21;10.439999999999998;10.44;12.439999999999998;12.44;13.85809180918092
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015395814376716999;0.0;0.0;90.94460418562328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;19.47925538863491;19.410744611365097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.761100000000056;0.0;41.04509999999988;1.1368683772161603e-13;41.07379999999995;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;59.13999999999995;0.0;0.0;0.06000000000005201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015595996360341091;0.0;0.0;35.443042671271826;3.260261332367861;0.0;10.541099999999972;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;41.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;56.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;38.70987589810588;18.02012410189417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.17;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.91379999999998;0.0;28.756199999999936;0.0;31.51000000000009;0.0
