LABELS;S_5;S_7;S_1;C_5;S_6;S_0;S_4;S_3;C_6;C_7;S_8;C_0;S_2;C_3;S_9;C_8;C_1;C_4;C_9;C_2
JOB ID;5;7;1;5;6;0;4;3;6;7;8;0;2;3;9;8;1;4;9;2
EVENT TYPE;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1
TIME;4.67;5.216137668675276;6.100139266929693;6.7;6.7;6.700000000000001;6.700000000000001;8.963483740862111;8.963483740862111;8.963483740862111;8.963483740862111;12.52;12.52;12.52;12.52;12.520000000000001;12.88;12.88;15.47;15.83
RESOURCE JOB 0;0.0;0.0;0.0;0.0;27.871661709100074;0.0;0.0;6.188338290899926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;4.271008419460593;0.0;32.06419581547765;0.0;0.0;25.322395765061778;0.0;0.0;0.0;0.0;0.0;0.0;8.022399999999983;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.112799999999961;0.0;0.0;52.68719999999996;10.220000000000073;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;3.3273210990673032;0.0;0.0;6.115078900932685;0.0;0.0;0.0;0.0;0.0;0.0;1.2276000000000096;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;27.3068834337638;40.03643238494254;22.89668418129365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;39.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;4.163647527778306;2.82534405276115;0.0;10.661008419460543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6372000000000035;0.0;0.0;76.8128;0.0;0.0
