LABELS;S_5;S_6;C_6;S_8;S_3;C_5;S_2;C_3;S_9;S_0;C_8;C_0;C_2;S_4;S_7;S_1;C_9;C_1;C_4;C_7
JOB ID;5;6;6;8;3;5;2;3;9;0;8;0;2;4;7;1;9;1;4;7
EVENT TYPE;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1
TIME;0.32;0.32;3.07;3.07;3.32;3.32;3.66;4.75;4.75;4.893067758749068;4.893067758749069;6.73;6.73;6.73;6.73;8.210096370061033;9.69;9.91;10.800367999999999;10.800367999999999
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.06940000000001;5.22059999999999;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;34.35307311988087;0.0;3.666964110200972;60.379962769918166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;4.141200000000005;0.0;11.168799999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1332086733054929;0.13319132669450695;3.704800000000006;13.838799999999994;0.0;0.0
RESOURCE JOB 5;87.85;0.0;0.0;10.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;49.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.558853260520412;22.316946739479643;2.0746000000000038;30.679599999999933;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;2.3599999999999994;6.990400000000008;0.0;8.978126880119138;0.0;2.941473119880854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5449507073716333;6.796649292628448;0.0;0.0;0.0;0.0;58.31275656922573;5.475643430774181;0.0;0.0;0.0;0.0
