LABELS;S_7;S_0;C_0;C_7;S_2;C_2;S_6;S_5;S_1;C_5;C_6;S_4;C_1;C_4;S_9;S_8;C_9;S_3;C_8;C_3
JOB ID;7;0;0;7;2;2;6;5;1;5;6;4;1;4;9;8;9;3;8;3
EVENT TYPE;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1
TIME;0.0;1.150725448030777;2.96398275380412;2.96398275380412;3.76;5.2972;5.2972;5.55;7.373200000000001;7.373200000000001;7.373200000000001;8.681852143827568;10.740367696645555;10.740367696645555;10.740367696645555;12.8;12.8;15.37;15.37;17.02
RESOURCE JOB 0;0.0;25.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.881004003695715;0.0;0.0;2.778995996304282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;76.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.17;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;12.639999999999986;76.73000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;39.13617248752672;13.653827512473274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.88;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.77;0.0;0.0;0.0;0.0;0.0
