LABELS;S_0;S_1;S_7;C_0;C_1;S_5;S_6;S_3;C_7;C_3;S_8;S_4;C_5;C_6;C_8;S_2;C_4;S_9;C_2;C_9
JOB ID;0;1;7;0;1;5;6;3;7;3;8;4;5;6;8;2;4;9;2;9
EVENT TYPE;0;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1
TIME;0.13;2.16;3.76;4.21;4.21;4.21;4.21;4.38;6.23;8.67;8.67;9.48;9.480000000000002;10.95;10.95;11.04;12.04;12.04;15.76;15.76
RESOURCE JOB 0;81.65899999999999;1.951999999999999;0.5490000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;52.942;2.4480000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.89689999999991;0.0;72.8231000000001;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.74449999999998;74.11550000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.32719999999994;3.809699999999964;0.0;34.10310000000009;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.3501999999999992;3.8110000000000017;10.930200000000001;0.0;1.6686000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;6.819800000000015;21.941000000000003;28.9384;0.0;9.6066;0.0;17.434199999999976;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;14.836500000000001;0.0;0.0;0.0;1.3299999999999859;46.00350000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.391400000000033;0.0;25.73859999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.88;0.0;0.0
