LABELS;S_2;S_7;C_2;S_5;C_7;S_6;S_3;C_5;S_0;C_6;S_9;S_1;C_3;C_9;C_0;S_8;C_1;C_8;S_4;C_4
JOB ID;2;7;2;5;7;6;3;5;0;6;9;1;3;9;0;8;1;8;4;4
EVENT TYPE;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;1;0;1
TIME;0.0;0.03;1.74;2.34;2.34;5.2142326776691945;5.915889615105302;5.915889615105302;6.6337083708370805;6.72;6.74;8.14;10.099999999999998;10.099999999999998;10.1;10.1;10.48112136266856;11.53;13.53;15.32
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9174000000000824;0.0045999999999999375;0.3220000000000003;22.245999999999917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.13999999999999;0.0;0.0;0.0;10.740000000000009;0.0;0.0;0.0;0.0
RESOURCE JOB 2;1.2162;40.6238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;4.773494725616331;0.0;0.5738393339334138;0.11500000000000199;8.86766594045028;11.269999999999975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.65;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;79.15636794300961;19.32363205699039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;15.759214814814982;31.11744306097254;0.0;1.8233421242124805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;44.8762;8.723800000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.316068133427962;52.443931866572036;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.786000000000008;13.34399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
