LABELS;S_6;C_6;S_8;S_7;C_8;C_7;S_3;S_2;S_4;C_2;S_0;C_3;C_4;S_5;S_1;C_5;C_0;S_9;C_9;C_1
JOB ID;6;6;8;7;8;7;3;2;4;2;0;3;4;5;1;5;0;9;9;1
EVENT TYPE;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;0;1;1
TIME;0.12;3.64;4.82;7.51;8.82;9.535712;9.56;9.82;10.93;11.98;12.35;12.35;14.35;14.35;15.542476635514012;15.542476635514012;15.78;15.78;18.62;19.3
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.66599999999997;0.0;0.0;29.001031775700724;5.082968224299307;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.793200000000084;0.0;0.0;43.559999999999945;22.78679999999997;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.834399999999967;29.155600000000035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;10.94599999999997;29.665600000000033;4.451999999999998;13.956400000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.892399999999967;4.543599999999998;54.33400000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.81;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;99.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;46.9144;35.7856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;74.67439999999999;18.585600000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.44;0.0;0.0
