LABELS;S_9;S_6;S_8;C_9;C_6;S_7;S_4;C_7;S_1;C_8;C_1;S_5;S_3;C_5;S_0;S_2;C_4;C_3;C_2;C_0
JOB ID;9;6;8;9;6;7;4;7;1;8;1;5;3;5;0;2;4;3;2;0
EVENT TYPE;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1
TIME;0.0;0.9495334383742242;2.318193832599119;2.318193832599119;2.6;2.8736836403033585;4.67;4.67;4.767830515821413;5.01;6.28;6.28;6.29;8.63;8.825158172231982;9.05;9.68;10.34;10.865829639012032;12.0
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5587000000000586;7.169399999999982;7.530599999999993;7.197301899936562;50.58399810006341;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1737;61.83630000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.331499999999991;20.84280000000001;16.6057;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.029765817223225;1.368058787346186;0.31927539543058714;4.416299999999993;4.6266000000000105;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;4.642057975726061;0.0;0.3172420242739493;1.6637000000000004;0.39329999999999643;0.0;46.85693418277684;8.389849824252835;8.364115992970348;13.582799999999978;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10670000000000357;0.0;54.113299999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;46.876618502202646;1.713381497797359;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;16.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;3.1984999999999992;0.0;3.1063093174431167;20.388190682556882;0.2494678153446035;0.0;0.6175321846553974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;10.957615878838547;13.192384121161451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
