LABELS;S_9;S_4;S_7;C_9;S_2;C_4;S_6;C_7;C_6;S_0;S_1;S_3;S_5;C_0;C_2;C_1;S_8;C_3;C_5;C_8
JOB ID;9;4;7;9;2;4;6;7;6;0;1;3;5;0;2;1;8;3;5;8
EVENT TYPE;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1
TIME;0.19346399999999786;1.92;3.7485355648535568;4.207063999999998;5.1;5.1;5.12;6.005896774193551;7.09;8.3;8.3;8.3;8.3;10.04;10.04;10.65;11.06;12.4;13.7;13.7
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.233999999999991;0.0;0.0;0.0;5.856000000000009;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.12740000000000862;0.0;2.781715870967748;4.202584129032257;7.707700000000003;0.0;7.0305999999999855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.74079999999998;0.0;0.0;0.0;7.669200000000039;4.887200000000007;15.972799999999978;0.0;0.0;0.0
RESOURCE JOB 4;0.0;68.57008368200837;1.8524548779916241;3.607461440000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.074599999999982;0.0;0.0;0.0;4.8952999999999705;5.612900000000025;10.080200000000033;7.526999999999987;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;34.64742283870979;50.00257716129022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;15.34236143999993;41.03933856000003;0.8726000000000198;0.0;6.865700000000018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.94699999999999;57.47300000000001;0.0;0.0
RESOURCE JOB 9;21.581700000000026;22.85669456066946;5.731605439330515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
