LABELS;S_7;S_4;S_11;S_14;S_3;C_11;S_13;S_0;C_3;S_5;C_14;S_8;C_0;S_6;C_7;S_10;C_13;S_9;S_12;C_6;C_4;C_8;S_1;S_2;C_10;C_5;C_1;C_9;C_12;C_2
JOB ID;7;4;11;14;3;11;13;0;3;5;14;8;0;6;7;10;13;9;12;6;4;8;1;2;10;5;1;9;12;2
EVENT TYPE;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1
TIME;2.76;3.092009048275334;3.092009048275334;3.9867686076671287;3.986768607667129;7.25;7.25;7.657537838436359;7.65753783843636;7.65753783843636;8.02;10.26;10.83286755139214;10.83286755139214;10.83286755139214;10.83286755139214;10.83286755139214;11.7;11.7;11.94;13.33;13.33;13.38;13.38;13.38;14.22;15.088573273079408;15.804401890077097;17.21746369418356;17.442660231675774
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.672137262555317;0.0;0.0;28.873599999999996;7.384262737444686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.771600000000003;0.0;0.0;26.908399999999997;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.9295999999999935;0.0;0.0;8.199331697869603;6.7574221444581815;13.339303430765028;2.6843427269071896;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;42.42200810032732;0.0;5.297991899672681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;39.172573510172775;0.0;0.0;3.4263929619495146;0.0;0.42791473035817695;6.085739692653531;0.0;0.0;2.3520000000000003;11.245390033827722;0.0;0.0;0.0;0.9104890710382527;0.0;0.0;2.100000000000019;1.4595000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5400686207298246;0.0;0.0;24.909531379270177;0.8535726515742876;0.0;0.0;0.0;1.2920273484257088;0.0;0.0;0.3575999999999979;2.0711000000000013;0.07450000000000401;0.0;1.2515999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.730800000000002;0.0;0.0;4.9392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;16.600452413766703;0.31316584578712825;0.0;0.0;66.61087367643727;0.0;7.624142664474396;0.12686175654727405;0.0;0.0;0.7840000000000003;0.20050364298724865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.172993989071017;0.0;0.0;0.0;3.0176209211553484;0.0;0.0;0.8352000000000075;11.654185089773627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.215199999999996;12.829700000000017;0.4615000000000009;0.0;7.753200000000007;0.0;0.0;8.01693131052292;28.78346868947706;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.405685089773634;0.0;0.0;1.4688000000000017;40.99901491022635;1.946499999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;5.252238613629825;0.0;0.0;10.817761386370176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08399999999999963;0.4865000000000004;0.01750000000000007;0.0;0.2940000000000005;0.0;0.0;0.3040006455777924;0.2505400159491913;15.303459338473019;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;2.6938251120643457;2.395874887935662;0.0;0.0;18.643645485297956;3.786654514702036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;38.73455662699117;0.0;4.3330175152484145;4.3024258577604115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
