LABELS;S_3;S_10;S_11;S_5;C_3;S_2;C_10;S_12;S_14;C_11;S_9;C_5;C_12;C_2;C_14;S_8;S_13;C_8;S_6;S_7;C_13;S_1;C_6;C_9;S_0;C_1;S_4;C_7;C_0;C_4
JOB ID;3;10;11;5;3;2;10;12;14;11;9;5;12;2;14;8;13;8;6;7;13;1;6;9;0;1;4;7;0;4
EVENT TYPE;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1
TIME;0.0;0.0;0.0;1.7890521327014204;2.1127329624478444;2.72;2.72;3.37;3.37;3.8399999999999985;3.8399999999999994;3.84;5.02;6.289999999999998;6.289999999999999;6.29;7.867167977788059;8.949999999999998;8.95;8.95;8.95;9.794988938053107;12.03;12.03;12.030000000000001;12.41;12.41;13.57;16.36;16.36
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4428000000000054;0.0;0.0;29.258200000000002;0.0;61.68899999999999;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.98179999999999;11.168200000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;25.3955;3.0361999999999902;0.0;0.0;0.0;7.6227999999999945;39.39550000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;52.45500853080565;8.33499146919435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.343800000000002;0.0;49.6062;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;2.731866203059816;5.125333796940197;0.0;5.485999999999997;3.966799999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.176290597345277;0.0;0.0;10.633709402654722;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.448622234513394;0.0;0.0;25.814377765486626;4.388999999999982;0.0;0.0;13.397999999999996;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.08207774178621;0.887922258213788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.032799999999998;13.084699999999827;0.0;0.0;49.732021147617004;6.453678852383163;0.0;5.036134070796521;0.0;0.0;13.320665929203486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;25.176177139457742;4.311218548998447;9.242604311543808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;11.82142096480763;0.8059652660685952;7.262913769123784;0.0;1.6185;5.62119999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.77340000000003;0.0;0.0;0.0;42.32659999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1023999999999283;0.0;0.0;0.0;2.0177999999999994;11.019800000000073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
