LABELS;S_9;S_11;S_6;C_9;S_2;C_6;S_14;S_1;S_4;C_11;C_14;S_12;C_2;S_10;C_12;C_1;S_3;C_4;S_5;S_7;S_8;C_5;C_7;C_10;C_3;S_0;C_8;S_13;C_13;C_0
JOB ID;9;11;6;9;2;6;14;1;4;11;14;12;2;10;12;1;3;4;5;7;8;5;7;10;3;0;8;13;13;0
EVENT TYPE;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;0;1;0;1;1
TIME;0.0;0.87;3.63;3.63;4.73;5.165454773239789;5.165454773239789;6.656477573760934;6.779999999999999;6.779999999999999;6.779999999999999;6.78;7.96;8.77;9.61;10.6;10.6;10.6;10.6;10.6;13.39;15.37;15.37;15.37;16.803123619103307;18.148523274868452;18.148523274868452;18.148523274868452;20.45;21.314723274868452
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.73383625657732;0.0;0.0;43.23616374342268;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.375336256577242;0.0;3.3511999999999986;0.0;0.0;4.0035637434227205;2.3856;11.194300000000037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;1.5545735404660483;0.0;5.322951397860486;0.44097506167346623;0.0;3.5915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.574100000000001;25.322536256577315;0.0;63.57336374342268;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.201000000000008;0.0;0.0;5.629499999999993;5.838000000000008;11.991499999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.225936256577313;9.664063743422687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;43.90100000000004;0.0;17.378999999999962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.52380000000001;50.86619999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.167200000000008;0.0;8.082817211742649;0.0;67.26998278825734;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;4.5708;8.7492;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.689636256577334;26.31419999999997;0.0;0.0;0.0;0.0;57.17616374342269;1.9799999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;51.46249999999999;6.655000000000005;0.0;2.6345013781007225;0.0;9.020687943152922;0.7473106787463522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.856300000000054;0.0;0.0;30.866936256577286;25.08676374342266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.34;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;60.20750068504376;2.6124993149562385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
