LABELS;S_14;S_5;S_13;C_14;S_2;C_5;S_11;C_11;S_10;C_2;S_7;S_8;C_10;S_9;S_3;C_7;C_8;S_0;C_9;C_0;S_12;C_13;S_1;C_3;S_4;S_6;C_12;C_1;C_6;C_4
JOB ID;14;5;13;14;2;5;11;11;10;2;7;8;10;9;3;7;8;0;9;0;12;13;1;3;4;6;12;1;6;4
EVENT TYPE;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1
TIME;1.07;2.5742391304347834;2.5742391304347834;2.820284288628455;5.01;5.49;5.5;6.73;6.735966460723741;8.62;9.34;9.34;10.75;11.164072984470634;12.170223197950973;12.170223197950973;12.170223197950973;13.472848672449096;13.472848672449096;15.496717394477937;15.496717394477937;15.496717394477937;17.539999999999992;17.54;17.54;17.54;17.54;21.53;21.53;21.65
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1368683772161603e-13;0.0;32.539999999999885;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;18.086400000000026;0.044599999999999085;5.485800000000001;0.026610414827882067;31.05658958517209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.040220793016985;0.0;0.0;14.04564893088016;0.0;0.0;14.754130276102856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.88000000000011;0.0;0.0;5.639999999999887;0.0;0.0
RESOURCE JOB 5;0.0;0.905446182152712;0.0;8.058153817847288;1.7664000000000009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.08;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.63800000000005;3.1084446823702514;3.8535553176296986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.53529999999995;11.316614665582382;27.498085334417663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.098403415685425;52.391596584314584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.346100000000007;5.781599999999997;0.0;11.322299999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;41.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.40999999999977;0.0;2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.698768249270028;0.0;6.218792620295186;1.3632000000000009;0.028399999999999537;3.4932;0.01694474845542615;5.35065525154457;2.044800000000002;0.0;4.0044;1.7161290060140484;2.857466606284163;3.6994563475746745;0.0;0.0;5.747787170561907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;75.21195652173918;10.698043478260814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
