LABELS;S_6;S_0;S_1;C_0;S_9;S_14;C_6;C_9;S_7;S_3;C_7;S_11;C_3;S_4;S_10;C_1;C_11;S_5;C_10;S_13;C_5;S_8;C_14;S_2;C_13;C_2;C_4;S_12;C_12;C_8
JOB ID;6;0;1;0;9;14;6;9;7;3;7;11;3;4;10;1;11;5;10;13;5;8;14;2;13;2;4;12;12;8
EVENT TYPE;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;1;1;0;1;1
TIME;0.0;0.38772616136919313;0.38772616136919313;1.62;3.4;3.4;3.4797497231450727;5.43;5.45;6.676462570769554;6.676462570769554;7.0874190182503245;8.679999999999998;8.68;8.68;8.85;9.27;9.326394669814137;12.29;12.29;13.650012554927809;14.71;14.71;14.95;14.95;16.48;16.86;17.95;20.761550151975683;25.14
RESOURCE JOB 0;0.0;50.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;1.959315403422983;0.0;14.165184596577015;0.0;0.12680205980066628;3.100897940199334;0.03180000000000227;1.9500754875235897;0.6534207514944264;0.0;2.5322037609819805;0.0;0.0;0.27030000000000065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.29;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.78621298035813;0.0;21.39378701964187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3311000000000064;3.288599999999988;1.3737741566724093;23.20502973535531;0.0;10.648898305084742;8.29970169491527;1.879199999999983;0.0;43.038296107972286;0.0;2.9754000000000076;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.98839610797238;0.0;0.42160389202762083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;10.394938386308068;9.254376528117364;0.0;47.721799999999995;0.0;0.6488850855745696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.820800000000062;0.0;13.171703892027715;0.0;1.4477999999999938;4.1529000000000025;10.712006079027361;47.264790028944866;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.20256429678848598;93.00743570321151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.236400000000003;3.835199999999986;1.4053551717683206;73.85304482823167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.55639999999999;0.0;0.0;2.539799999999989;13.573800000000027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.5;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.365015693659764;1.3249843063402373;0.29999999999999716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;3.009234715089911;1.4041801993355474;0.01440000000000019;0.883053050954079;3.6034776197882943;0.0;1.1466583068597647;0.0;0.0;0.12240000000000073;0.30239999999999956;0.040604162266179245;2.13379583773382;0.0;33.565109855618346;43.37468625235407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
