LABELS;S_12;S_1;S_7;S_6;C_1;S_10;C_12;S_5;C_7;C_6;S_2;C_5;S_11;S_9;C_10;S_8;C_2;C_9;S_4;S_13;S_0;C_8;S_14;C_0;C_11;S_3;C_13;C_14;C_4;C_3
JOB ID;12;1;7;6;1;10;12;5;7;6;2;5;11;9;10;8;2;9;4;13;0;8;14;0;11;3;13;14;4;3
EVENT TYPE;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1
TIME;1.6;1.8431105387778843;1.8431105387778843;2.7;4.03;4.03;4.03;4.756644373364351;4.756644373364351;6.33;6.9;6.9;7.11;8.1;8.1;9.481516192345438;10.62;10.620000000000001;10.79;10.79;10.94;10.94;10.94;13.91;13.91;14.12;15.24;16.57;17.51;17.795688
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;7.634885099489054;0.0;3.1651149005109467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.658600000000007;0.0;12.533399999999986;12.96709715407264;0.0;6.830902845927369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5424;11.331600000000009;43.121600000000086;14.284399999999906;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4304999999999666;0.0;2.286900000000001;0.0;0.0;0.0;4.802699999999959;25.614400000000046;30.417100000000005;3.8784000000000294;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.10769999999998;0.0;19.602300000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;9.4829;5.180974382087815;0.0;0.0;7.926125617912184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;4.558651933701656;0.0;7.0756;3.8657480662983446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.40459999999997;8.0869;0.0;1.0185000000000315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.457828115799806;0.0;0.9221718842001962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;6.994483861587682;0.0;0.0;12.901516138412326;0.0;4.6739999999999995;1.7220000000000013;0.0;8.117999999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.929699999999997;3.650884347399497;0.0;2.766515652600585;0.4131;0.0;1.504499999999993;0.0;7.715299999999928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;7.086672205375322;16.833827794624668;0.0;38.76950000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5465000000000089;0.0;37.67960000000004;0.0;0.0;0.0;2.1650999999999954;17.068799999999953;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.37820000000002;0.0;0.0;0.0;0.7077000000000027;3.7744;16.429699999999976;0.0;0.0;0.0
