LABELS;S_5;S_9;S_12;C_9;S_11;S_1;S_3;C_5;C_12;S_7;S_13;C_7;C_1;S_0;S_2;S_6;S_8;C_11;C_13;C_8;C_0;C_6;S_4;C_2;C_3;S_10;C_4;S_14;C_10;C_14
JOB ID;5;9;12;9;11;1;3;5;12;7;13;7;1;0;2;6;8;11;13;8;0;6;4;2;3;10;4;14;10;14
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1
TIME;0.0;0.0;0.17;4.409854423292273;4.409854423292273;4.75;4.75;4.75;4.75;5.004351697273231;7.086315789473679;8.119999999999997;8.12;8.98;8.98;8.98;8.98;8.98;11.87;12.15;12.81;13.164058704453439;13.92;14.0;14.0;16.038582816651903;16.04;16.85;20.53;20.53
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.65999999999999;0.0;0.0;2.240000000000009;5.280000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;7.879815581524696;0.0;0.0;0.0;52.786647576369944;32.02353684210536;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.2763;0.0;0.0;1.867599999999996;6.811200000000014;3.227985829959472;7.801314170040513;0.8256000000000085;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.07121847523650482;0.0;0.0;0.0;0.5829499458161256;0.2894315789473696;0.0;0.24080000000000013;0.0;0.0;0.8091999999999997;0.0;0.0;0.07840000000000069;8.223600000000005;0.0991364372469623;7.262863562753029;0.022400000000000198;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0440000000000111;0.0;26.60350575730733;0.002494242692655746;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;3.4867;66.53452900335947;0.0;2.2687709966405416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.051700000000025;0.0;0.0;0.6524000000000036;1.5377999999999972;3.4980999999999742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.125494736842;14.254505263158002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.43840000000001;0.0;0.0;9.161599999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;5.0133;71.5767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06836492471211386;40.500000000000114;44.881635075287775;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;12.149999999999991;4.766550806900344;0.0;0.0;0.0;1.603112350994345;0.7959368421052657;0.0;39.16440000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;73.88149216125419;0.0;2.588507838745798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.320800000000016;0.0;3.5948000000000064;0.0;0.0;64.26439999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.62;0.0;0.0
