LABELS;S_2;S_0;S_12;S_6;C_2;S_8;C_12;C_0;S_3;S_5;C_8;C_6;C_3;S_13;S_1;C_5;S_9;S_10;S_11;C_13;S_4;C_10;S_7;C_9;S_14;C_11;C_1;C_4;C_7;C_14
JOB ID;2;0;12;6;2;8;12;0;3;5;8;6;3;13;1;5;9;10;11;13;4;10;7;9;14;11;1;4;7;14
EVENT TYPE;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1
TIME;0.0;0.5883677041523478;0.5883677041523478;2.073155735075596;3.731662723309436;3.731662723309436;3.731662723309436;5.0628540233588675;5.0628540233588675;5.0628540233588675;5.0628540233588675;5.145149313164858;6.9;8.01;10.65;10.65;10.65;12.07;13.31;13.31;15.26;15.26;16.46;16.46;16.46;16.872017498713326;18.94;18.94;19.41;20.39
RESOURCE JOB 0;0.0;0.0;0.9205685791724136;30.334092814796936;0.0;0.8253386060306475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.889;0.0;0.0;11.47649999999998;2.593499999999999;0.0;2.426299999999962;0.0;0.0;0.0;0.5479832732887218;16.84671672671133;0.0;0.0;0.0;0.0
RESOURCE JOB 2;29.41838520761739;0.0;53.94234916344156;0.1492656289410519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.952754998238916;0.0;0.0;77.96724500176109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.572000000000003;0.0;0.0;0.0;3.6298741636643967;39.6681258363356;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3851419562920313;0.0;0.0;9.775289339996021;24.9195;39.88006870371194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;15.656305968927452;0.0;8.186826495304004;0.0;0.0;0.7768675357685453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.025410962429191;38.682689037570825;4.591899999999981;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;53.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.917599999999993;0.0;0.0;7.787200000000013;41.35949999999999;0.0;23.685700000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.58150000000001;15.65849999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.88850000000002;0.0;23.31600000000003;0.0;0.0;0.0;8.005499999999941;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;19.376483803548396;21.643516196451607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.2318;8.193400000000004;0.0;0.0;7.1547999999999945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.087213587236192;6.824342254246027;1.5509999999999948;0.0;4.637444158517788;0.0
