LABELS;S_5;S_0;C_5;S_10;S_14;S_9;C_14;S_8;C_10;S_1;S_13;C_8;S_12;C_12;C_0;C_1;S_3;S_4;C_13;C_3;S_2;S_7;C_2;C_9;C_7;S_6;C_4;S_11;C_6;C_11
JOB ID;5;0;5;10;14;9;14;8;10;1;13;8;12;12;0;1;3;4;13;3;2;7;2;9;7;6;4;11;6;11
EVENT TYPE;0;0;1;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;0;1;1
TIME;0.55;1.9357308584686777;1.9357308584686777;1.9357308584686779;2.49;4.9445180608544055;4.9445180608544055;5.185300602078025;5.185300602078025;6.58;6.72;7.417917771883289;7.417917771883289;8.59;9.72;10.65;11.27;12.63;12.63;13.62;14.17;15.16;15.71;15.96;16.6;16.73;17.52;17.52;20.16;21.92
RESOURCE JOB 0;0.0;0.0;0.0;12.559738747099765;10.333521036197045;4.114973629511638;0.0;5.871684465251516;0.0;2.9442000000000332;2.938233819628646;0.0;4.934466180371352;17.723182121940006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5829999999999984;3.6919850132626024;0.0;6.2003149867374034;6.44619999999999;17.158500000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.263000000000005;19.446999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0968;20.773199999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.568500000000007;0.0;16.05450000000002;5.078699999999998;2.8215000000000146;3.3491999999999464;16.97280000000012;3.7946999999999207;23.060099999999977;0.0;0.0;0.0;0.0
RESOURCE JOB 5;23.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.439900000000023;0.0;70.83009999999997;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.587999999999987;5.54480000000002;15.027199999999993;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.23148713527854;0.0;1.3089999999999975;21.279512864721458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;5.277953303621729;0.0;1.6317982955687116;0.0;0.16379999999999928;0.8165637931034482;0.0;1.7581233421750682;22.34141787806005;1.088099999999999;0.7253999999999987;13.705243387470972;1.158299999999997;0.0;11.445499999999981;1.1583000000000006;0.6435000000000031;3.6060000000000336;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;6.091417865429232;22.982382006523185;2.6462001280475818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.16990000000003;29.26009999999998;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.169593103448278;0.0;10.361206896551721;9.989200000000011;28.253399999999942;20.918799999999976;23.13780000000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;89.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
