LABELS;S_11;S_8;S_2;C_11;S_13;S_7;C_8;S_3;C_13;S_5;C_2;S_0;C_5;C_3;C_7;C_0;S_6;S_12;S_9;C_12;S_1;C_6;S_10;S_14;S_4;C_9;C_14;C_1;C_10;C_4
JOB ID;11;8;2;11;13;7;8;3;13;5;2;0;5;3;7;0;6;12;9;12;1;6;10;14;4;9;14;1;10;4
EVENT TYPE;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1
TIME;0.0;0.38;2.808138901497957;2.808138901497957;2.8081389014979576;3.94;3.94;4.66;4.66;4.77;6.51;7.81;7.81;9.07;10.43251647834275;12.27;12.96;13.0;15.13;15.13;16.570218281036833;16.570218281036833;16.570218281036833;17.14;18.8;18.8;19.332804428044284;20.65;20.65;22.32
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.435999999999993;0.0;10.24612391713748;13.817876082862526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8631862210095562;0.0;0.0;22.579713778990524;5.137777490774923;0.0;37.329322509224994;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;6.225236041761232;12.560763958238741;0.0;0.0;2.362799999999993;25.51120000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7776999999999958;12.3018;9.191000000000003;48.6395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.824732103321068;0.0;23.828067896678974;42.71719999999996;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.578;37.49199999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1727999999999952;24.440000000000055;0.0;42.227199999999954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;6.74379999999999;0.0;0.0;2.359499999999983;0.609;18.317000000000007;0.4410000000000003;0.0;57.879700000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;84.41674507489786;0.0;0.0;6.7232549251021325;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.783714051841798;24.591778990450216;0.0;0.0;37.43450695770798;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0341207366985046;0.0;0.0;4.991379263301509;1.902111808118093;0.0;4.702388191881894;0.0;0.0;0.0
RESOURCE JOB 11;16.7998;36.9902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;43.644563958238734;16.69543604176127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.994399999999985;5.775600000000015;0.0;0.0;0.0;0.0;0.0
