LABELS;S_13;S_5;S_10;C_13;S_18;S_3;S_2;C_5;C_10;S_12;S_7;C_12;C_2;S_16;C_3;S_6;C_6;C_7;S_15;C_18;S_0;S_1;C_16;S_8;S_19;S_4;C_15;S_9;C_9;S_14;S_17;C_8;C_0;C_14;C_19;C_1;C_4;C_17;S_11;C_11
JOB ID;13;5;10;13;18;3;2;5;10;12;7;12;2;16;3;6;6;7;15;18;0;1;16;8;19;4;15;9;9;14;17;8;0;14;19;1;4;17;11;11
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1
TIME;3.07;5.23;5.23;5.23;5.23;6.62;9.41;9.54;9.54;9.54;11.86;11.86;12.121526315789472;13.59;13.590000000000002;13.590000000000002;15.63900938477581;15.63900938477581;15.63900938477581;15.63900938477581;16.28;16.28;16.28;16.49;17.29;17.74;17.74;17.93;21.07;21.07;21.07;21.070000000000004;23.60338902147971;23.603389021479714;23.603389021479714;24.646147323794384;25.48;25.48;37.46;47.24
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7597999999999843;0.0;0.0;6.703999999999979;3.771000000000015;0.0;1.5921999999999912;26.313200000000023;0.0;21.22980000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6106203336811902;0.0;0.0;4.400000000000006;2.4749999999999943;0.0;5.206000000000174;17.270000000000024;0.0;29.36468133696315;0.0;-1.1368683772161603e-13;39.35369832935581;0.0;-2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;4.235399999999975;54.80320000000003;0.0;0.0;2.9813999999999954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;60.50259999999999;0.31589999999999563;5.637600000000003;0.0;0.0;0.6355089473684181;0.0;3.5683910526315863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9234000000000151;15.260400000000018;0.0;12.312270644391404;0.0;0.0;5.067805349249322;0.0;0.0;10.906124006359258;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;7.047299999999996;0.0;0.0;19.18360000000001;0.6590999999999951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
