LABELS;S_1;S_18;C_1;S_12;S_7;C_7;S_11;C_12;C_18;S_4;S_9;S_5;C_11;S_10;S_13;C_4;S_14;C_13;S_15;C_5;S_3;C_10;C_14;S_19;S_16;S_0;C_15;C_3;S_8;S_6;C_16;S_17;C_0;S_2;C_8;C_6;C_9;C_17;C_19;C_2
JOB ID;1;18;1;12;7;7;11;12;18;4;9;5;11;10;13;4;14;13;15;5;3;10;14;19;16;0;15;3;8;6;16;17;0;2;8;6;9;17;19;2
EVENT TYPE;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;1;1
TIME;0.37;0.37;2.3926673695308383;2.3926673695308383;3.14;4.54983606557377;5.108524381446512;5.108524381446512;5.108524381446512;5.18;6.42677263471811;7.07;7.07;8.15;8.15;8.37;8.37;10.12;10.12;11.84876723662438;13.09;13.09;13.09;13.09;13.330261437908492;13.75;13.75;16.41;16.41;17.17;17.17;17.17;18.97;18.97;18.97;20.574463043722297;20.574463043722297;20.574463043722297;21.14;24.13
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.938400000000001;0.0;9.749600000000008;9.431999999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;38.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.198806153420946;0.0;0.0;2.8898938465790565;31.1513;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.967741176470549;0.0;0.0;3.4376588235294605;0.0;62.99459999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.746879804397906;20.313120195602096;2.8079999999999963;0.0;0.0;0.5719999999999956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.08400000000001;0.0;0.0;0.3322000000000003;0.0;2.6425;0.0;41.16129999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.566223128697247;0.0;0.0;0.0;0.0;11.423776871302751;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;20.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.55222312869735;65.72777687130265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.792918083403436;0.10799999999999998;0.0;0.0;0.02200000000000002;0.0;0.17500000000000004;0.0;0.17287672366243823;0.12412327633762743;0.0;0.024026143790849108;0.0;0.0;0.04197385620915073;0.0;0.26600000000000024;0.0;0.07600000000000029;0.1799999999999995;0.0;0.0;0.0;0.0;16.7970819165965;0.0;0.0;0.0;0.0;0.0
