LABELS;S_8;S_10;S_6;C_10;S_4;S_3;C_6;S_11;S_7;C_11;C_4;C_8;S_12;S_16;S_17;C_3;C_7;S_13;S_1;S_19;C_16;C_1;S_9;C_19;S_5;C_17;S_0;C_13;C_5;S_18;S_2;S_14;S_15;C_9;C_12;C_0;C_2;C_18;C_14;C_15
JOB ID;8;10;6;10;4;3;6;11;7;11;4;8;12;16;17;3;7;13;1;19;16;1;9;19;5;17;0;13;5;18;2;14;15;9;12;0;2;18;14;15
EVENT TYPE;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1
TIME;1.216273291925466;2.147639199574968;3.6672542995009487;3.667254299500949;4.932567863754609;5.72;6.28;6.689193548387099;6.98;8.21;8.353924954326914;9.02;9.02;9.02;11.754518147877311;11.76;11.76;12.01;12.013401158548124;12.719147059293451;12.719147059293457;13.78;13.78;15.826931018301263;15.826931018301265;15.826931018301265;17.99;17.99;17.990000000000002;18.38771337288909;18.479999999999997;18.48;19.07078403246074;19.65;19.65;22.819530617931505;22.819530617931505;22.819530617931505;23.126888672013614;23.126888672013614
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.725333135554479;0.0;0.0;0.4891191236878285;0.0;3.131155372041917;3.0698446279580622;0.0;24.714547740757716;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.301151049991176;13.198848950008824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.542345009141343;3.3942055697800413;0.0;18.573449421078607;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;16.452799999999982;13.654788709677533;3.3937112903225355;10.467300000000009;1.2248013613220223;5.6682986386779675;0.0;0.0;42.76164943843586;0.04665056156409264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;29.890923891875076;4.804800000000007;3.5108806451613077;2.4951193548386925;10.55340000000001;1.234876108124908;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;46.99374577638089;3.1418542236191094;2.234400000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9482999999999997;3.577974364567069;22.273549527307992;0.0;0.0;61.75257936281109;0.017596745313831264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;7.497495556578492;12.232901554404148;0.0;10.185774192241961;6.338828696775394;4.50800000000001;3.2940080645161487;2.3409919354838493;9.901499999999999;1.1585958823316531;5.361904117668345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.688590057993473;0.0;5.450933833880818;0.0;4.287350159744392;0.0;0.0;0.9948498402556254;0.0;6.368651869926765;1.459624238198927;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;20.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.310499999999962;26.629500000000036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.578783480235629;0.025216519764363454;1.1499999999999986;0.0;0.01564532932137297;3.2464311434285307;4.879923527250124;0.0;0.0;9.415882684185803;0.0;9.950117315814197;0.0;1.8294815152898138;0.0;0.0;2.446518484710282;0.0;2.717606549319399;2.664393450680592;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11880246808598827;0.18349393419378668;0.2758217645837022;-1.1368683772161603e-13;0.0;57.95948389789567;0.0;0.5623979352418473;0.0;0.0;0.0;-2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.481292936335109;2.4327070636648926;0.0;27.965096172855134;0.0;1.2909038271448527;0.0;0.0;0.0
RESOURCE JOB 15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.686873312952663;0.0;22.408581468775736;0.0;10.674545218271602;0.0;0.0;0.0
RESOURCE JOB 16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.632895112382982;0.005098122474100464;0.23249999999999993;0.0;0.003163077449755747;0.6563436876931608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17953065701802196;11.117500000000001;0.0;0.032447052549102295;18.89987522196008;17.862925153878805;0.0;0.0;19.527721914594053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6838439068917523;0.0;2.2981498862722702;2.2531501137277132;0.0;64.81485609310826;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.82512763960584;0.0;0.0;6.754872360394167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
