LABELS;S_6;S_15;S_4;S_5;C_15;S_18;C_4;S_14;S_17;C_17;C_6;C_5;S_2;S_0;S_12;C_14;C_18;S_11;C_0;C_11;S_13;S_16;S_19;C_2;S_1;C_13;C_1;S_3;C_12;S_8;S_7;S_10;S_9;C_19;C_3;C_8;C_7;C_10;C_16;C_9
JOB ID;6;15;4;5;15;18;4;14;17;17;6;5;2;0;12;14;18;11;0;11;13;16;19;2;1;13;1;3;12;8;7;10;9;19;3;8;7;10;16;9
EVENT TYPE;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1
TIME;0.20643650616184894;0.20643650616184894;1.9621136607446121;1.9621136607446121;1.9621136607446121;1.9621136607446121;3.82;3.82;4.9;6.192184724689166;6.192184724689167;6.1921847246891675;6.86;7.26;8.07;8.46;8.46;9.87;11.77803335766946;12.46933001754705;12.469330017547051;13.408974603174611;13.556246345029246;14.319999999999999;14.32;14.32;15.46;15.46;17.74999999999999;17.749999999999993;17.749999999999996;17.749999999999996;17.75;17.75;22.169999999999998;22.169999999999998;22.17;22.17;22.17;23.105057755775576
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.58165448661687;3.580200000000005;12.943799999999982;0.0;35.19434551338314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.852000000000025;4.997700000000002;2.4063000000000088;22.711623190638313;0.0;11.772565816820574;27.07117720080639;0.0;5.797607093322043;0.9086666472430949;4.71236005116954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.35719999999998;13.752800000000022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;27.169166607460035;0.0;1.5984000000000007;1.912433392539965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;14.782801641586865;0.0;0.0;0.0;15.64340297653036;0.0;9.093600000000002;10.880195381882771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
