LABELS;S_1;S_11;S_4;C_1;C_11;C_4;S_6;S_2;S_5;C_6;S_13;C_2;S_18;S_10;C_5;C_10;S_12;S_0;C_13;C_18;S_15;C_12;S_14;C_15;S_19;S_3;S_7;C_0;C_19;S_8;C_14;S_17;C_3;C_7;S_9;S_16;C_17;C_8;C_9;C_16
JOB ID;1;11;4;1;11;4;6;2;5;6;13;2;18;10;5;10;12;0;13;18;15;12;14;15;19;3;7;0;19;8;14;17;3;7;9;16;17;8;9;16
EVENT TYPE;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1
TIME;0.95;3.6290893653152194;4.8;5.14;5.14;6.56;6.67;8.36331346841478;8.36331346841478;8.83;9.68;10.38;10.38;12.372118644067799;13.869999999999997;13.87;13.9;15.27;15.316489409643985;15.316489409643985;15.99781512605042;16.67;17.14;17.14;17.14;19.33;20.4047548106766;20.48;20.89;21.83;21.84;21.84;22.6;22.6;22.6;24.96;24.96;31.77;31.77;31.77
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1236490310950842;28.03655323012481;0.0;1.1023831932773156;6.448761410803925;51.33368106765979;0.0;0.0;1.7625978895096246;1.3423741775294609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;90.89346826576099;3.3839317342390163;0.9825999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.746499999999976;0.0;21.394499999999994;17.619000000000028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.107937430167574;0.6636625698324069;3.6162000000000205;8.290799999999962;0.08820000000002892;0.0;6.70320000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;11.961199999999991;25.59880000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.153500000000037;0.0;21.105500000000006;6.251000000000019;0.0;36.5639194915254;13.376080508474544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;84.66567342073904;2.4343265792609543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9608810676598409;5.2357000000000085;6.0605189323400985;0.12770000000000437;0.0;9.705200000000048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2688999999998458;0.0;4.180000000000007;0.0;0.0;12.97999999999999;60.52110000000016;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.841600000000028;56.978399999999965;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
