LABELS;S_9;S_15;S_8;C_9;C_8;S_17;C_15;S_4;S_12;S_11;S_14;C_17;C_14;S_16;S_19;C_11;C_19;C_12;S_13;C_4;S_6;S_10;C_16;S_7;S_2;C_6;C_7;C_10;C_13;S_3;C_2;S_18;S_1;S_5;C_3;C_5;C_18;C_1;S_0;C_0
JOB ID;9;15;8;9;8;17;15;4;12;11;14;17;14;16;19;11;19;12;13;4;6;10;16;7;2;6;7;10;13;3;2;18;1;5;3;5;18;1;0;0
EVENT TYPE;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1
TIME;0.0;0.0;1.1574750830564788;1.78;2.72;2.72;3.15;3.52;4.88;4.918310904507663;4.918310904507663;5.14;7.05617098681219;7.05617098681219;7.05617098681219;8.16;8.8;9.59615234375;9.59615234375;10.67;11.07932778001279;11.339999999999998;11.34;12.15;15.314705882352943;15.314705882352943;15.314705882352943;15.314705882352943;15.314705882352943;16.563740049802032;17.02;17.02;17.42;17.42;20.49;21.20624769119996;21.20624769119996;21.299310344827585;22.92;26.21
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.09;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.902999999999992;2.077118304479889;0.26988169552011954;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.451708372454405;0.0;0.0;0.0;0.0;16.23829162754559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.574705882352703;0.0;0.5600000000000023;0.0;18.005294117647296;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.91885001840292;0.054018375355805226;0.0;0.3125816246441939;7.45160986082346;0.0;0.0;1.5563989085948116;0.9024000000000001;9.186040040303745;0.0;28.328101171875048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.64756967097632;6.102430329023676;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1896466478925447;0.0;6.804000000000002;30.426353352107455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
