LABELS;S_13;C_13;S_10;S_16;S_5;C_10;S_18;S_15;S_2;C_5;S_12;C_16;C_18;S_7;C_15;S_0;C_2;C_0;S_8;S_19;C_7;S_14;S_4;C_12;C_8;C_4;S_3;C_19;S_17;S_1;C_14;S_6;S_11;C_3;S_9;C_17;C_9;C_11;C_1;C_6
JOB ID;13;13;10;16;5;10;18;15;2;5;12;16;18;7;15;0;2;0;8;19;7;14;4;12;8;4;3;19;17;1;14;6;11;3;9;17;9;11;1;6
EVENT TYPE;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1;1;1;1;1
TIME;0.0;2.35;2.75;3.61;4.72;4.72;5.443416927899654;6.58;7.126499032882011;7.126499032882012;7.126499032882012;7.126499032882012;7.73;8.26;8.26;8.821367898510756;9.2;10.78;10.9;10.9;12.26;12.48;13.109973558963512;13.109973558963512;14.56;14.560000000000002;15.54;16.736044079193142;16.86;17.03;17.28;17.280000000000005;17.280000000000005;17.64;17.64;19.081768082663604;19.897259106565077;19.897259106565077;24.04648804616653;25.47
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8645999999999745;28.645400000000024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0325000000000273;4.366799999999984;0.0;0.0;0.0;17.488646842709528;9.89190611992484;0.0;50.33014703736562;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.240200000000019;0.0;0.0;0.0;5.480199999999996;5.80454407060121;0.0;3.9150559293987754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.638244602166836;1.7564553978331787;2.155600000000014;1.5525000000000233;9.007199999999955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;25.659598432600745;0.0;10.22600156739945;12.0843999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5903999999999989;0.0;0.0;0.0;2.3644996555683093;1.3374052791984141;0.0;34.483135460946386;2.3345596042868877;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.931620959735213;0.0;3.737098841698824;32.53220000000003;4.646399999999986;0.0;42.19268019856595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4649474881017674;2.098799999999997;0.7244695928080382;10.321782919090197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.93124192516437;6.98875807483563;0.0;0.0;0.0;0.0
