LABELS;S_19;S_0;C_19;S_4;S_16;C_0;S_6;C_16;C_4;S_9;C_6;C_9;S_5;S_12;S_11;S_14;C_5;C_12;S_18;C_11;S_13;C_14;S_17;S_1;S_10;C_18;S_2;C_10;C_17;C_1;C_2;S_7;S_15;C_13;C_15;S_8;C_7;S_3;C_3;C_8
JOB ID;19;0;19;4;16;0;6;16;4;9;6;9;5;12;11;14;5;12;18;11;13;14;17;1;10;18;2;10;17;1;2;7;15;13;15;8;7;3;3;8
EVENT TYPE;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1
TIME;0.0;1.299000969932104;1.67;1.82;1.82;2.68;5.15;5.15;5.635899419729206;5.635899419729206;8.28;8.28;10.21;12.785627510040158;13.87;13.87;14.31;14.44;14.73;16.042601936799183;16.042601936799183;16.6;16.6;18.15;18.15;18.87;19.276872197309412;19.82;19.82;20.4;21.509999999999998;21.51;21.510000000000005;22.41;24.27;25.91;26.24;27.05;31.34;31.34
RESOURCE JOB 0;0.0;15.30000000000004;7.5;0.0;35.97999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2477927130045146;2.490057847533592;1.102549439461896;3.549599999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.844700000000046;19.538400000000053;0.0;40.83690000000013;0.0;-2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.37;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;3.4682000000000386;66.36307969052224;13.13872030947772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.902657379518054;5.888142620481943;2.3892000000000024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;9.35356382978722;0.0;0.0;29.946436170212777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.021000000000015;0.0;0.0;12.443399999999997;26.947899999999997;2.2076999999999884;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.292300000000012;8.07570000000004;72.30199999999995;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.377600000000086;7.559685426008855;2.012714573991058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
