LABELS;S_6;S_9;S_11;S_5;C_6;S_13;S_4;C_9;C_11;S_0;C_5;C_13;C_0;S_2;S_16;C_4;S_1;S_17;C_16;C_2;S_8;S_7;C_8;C_1;S_14;C_17;C_14;C_7;S_10;S_18;S_3;S_12;C_18;S_19;C_10;C_3;C_12;S_15;C_15;C_19
JOB ID;6;9;11;5;6;13;4;9;11;0;5;13;0;2;16;4;1;17;16;2;8;7;8;1;14;17;14;7;10;18;3;12;18;19;10;3;12;15;15;19
EVENT TYPE;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1
TIME;0.0;0.0;0.7378947368421055;2.8067972231191476;2.8067972231191476;2.8067972231191476;3.58;3.5800000000000005;3.5800000000000005;4.03;5.4;5.4;5.85;5.85;6.04;6.97;8.65;8.65;9.96;11.32;11.32;13.85;14.007138263665594;14.23;14.23;14.92;16.38699467339501;17.05;17.05;18.19507376523412;18.77;18.77;19.883513966564376;21.679999999999993;21.679999999999996;21.68;21.68;21.68;24.55;24.55
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.886500000000009;10.453499999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.152200000000022;8.663199999999996;27.623999999999988;0.0;1.0009707395498282;1.419629260450165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7144000000000013;3.496799999999997;40.747199999999985;0.0;35.10800000000003;5.113599999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.774167766401348;53.535832233598654;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;14.565200000000026;0.0;0.0;11.768300000000004;8.476599999999955;0.0;0.0;8.785599999999999;41.99430000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;7.454388685825016;3.7291113141749825;0.0;0.0;19.7965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;18.513778947368426;0.0;67.44622105263157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6672369774919389;2.364563022508065;7.320899999999995;0.0;14.252813484721045;7.034486515278957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.68299999999999;0.0;4.8870000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;18.38095789473685;0.0;27.350890868582496;0.0;0.0;11.45815123668065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.25368826170621;1.8570117382937994;0.0;3.5966501120029335;5.802649887997063;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;8.648012392638035;0.0;0.0;3.2319876073619653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.404867877653089;29.38513212234691;0.0;0.0;0.0;0.0;0.0;0.0;0.0
