LABELS;S_5;S_11;S_3;C_11;C_5;S_8;C_3;S_19;S_12;S_0;C_19;C_12;S_10;S_4;C_8;C_10;S_15;C_0;S_13;C_15;S_16;C_13;C_4;S_17;S_2;C_16;S_6;S_7;C_17;C_2;S_9;S_1;S_14;S_18;C_1;C_9;C_7;C_14;C_6;C_18
JOB ID;5;11;3;11;5;8;3;19;12;0;19;12;10;4;8;10;15;0;13;15;16;13;4;17;2;16;6;7;17;2;9;1;14;18;1;9;7;14;6;18
EVENT TYPE;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1
TIME;1.73;1.73;3.930724233983287;3.930724233983287;4.97;4.97;5.66;5.66;6.23;7.88;8.411807275946074;8.969999999999999;8.97;10.58015355687872;10.58015355687872;10.58015355687872;10.58015355687872;11.22;12.58;14.21;15.33;15.4;15.9;15.914630281690151;17.40875483644038;17.6;19.64;19.64;19.64;20.63;20.63;22.52;23.09;24.981785906401285;25.759999999999987;25.759999999999994;25.759999999999998;25.76;26.66;27.7
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.991444787698487;20.92106329754108;1.1368683772161603e-13;15.554083359448427;0.0;0.0;20.02340855531191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.336200000000076;11.918251210328119;9.475548789671802;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.437100000000058;57.99719999999991;0.0;28.145700000000033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;32.866099999999996;0.0;5.7339000000000055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.860113600752122;0.0;16.429486399247885;7.286100000000005;5.006399999999992;0.31289999999999907;2.2349999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;21.59621169916436;14.653788300835636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.296299999999974;0.0;0.0;18.991900000000086;4.2009000000000185;13.94246213017746;5.735437869822448;0.0;0.0;0.0;6.63300000000001;0.0;0.0
