LABELS;S_28;S_19;C_28;S_0;S_26;S_6;C_26;S_13;C_6;C_0;C_19;S_9;S_2;S_4;S_21;S_29;S_18;S_22;C_2;C_21;C_13;C_4;C_9;C_22;S_7;S_10;C_29;S_3;C_18;S_23;S_16;C_3;S_27;S_1;C_23;C_27;S_8;S_24;S_12;C_7;C_8;S_17;C_12;S_15;S_20;S_25;C_1;C_10;C_17;C_24;S_14;C_20;C_15;C_25;S_11;S_5;C_14;C_5;C_16;C_11
JOB ID;28;19;28;0;26;6;26;13;6;0;19;9;2;4;21;29;18;22;2;21;13;4;9;22;7;10;29;3;18;23;16;3;27;1;23;27;8;24;12;7;8;17;12;15;20;25;1;10;17;24;14;20;15;25;11;5;14;5;16;11
EVENT TYPE;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1
TIME;1.37;3.0995684113865933;3.0995684113865933;5.76;7.11;8.54468559837728;9.63;9.66;10.309999999999999;10.31;10.52;11.789999999999996;11.79;11.79;11.79;11.79;12.589999999999998;12.59;14.72;15.956659630606852;16.53;16.58;16.58;16.58;17.43;17.43;17.43;17.44;20.399780033826946;20.399780033826946;21.339999999999996;21.34;21.34;22.207761304495456;23.19;23.920636185599257;23.92063618559926;23.92063618559926;25.117993747255035;25.63;25.63;26.077589889944818;26.62;26.62;26.62;27.43;28.061054717669112;28.061054717669112;29.22;29.22;29.220000000000002;31.12680408970978;31.44166258906426;32.01;34.60598931301283;36.04296982429334;36.04296982429334;38.676898395721906;38.676898395721906;42.14
RESOURCE JOB 0;0.0;0.0;0.0;61.49000000000002;9.612393509127777;7.271606490872218;0.20100000000000762;4.35499999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2806772429851634;2.440324859901523;3.9991742559303027;0.0;0.0;1.7101008841681846;1.4949502324156896;0.0;1.8116497675843277;0.0;2.7053999999999974;0.0;2.107722757014841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.999999999999943;0.0;0.0;0.0;0.0;25.160000000000053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.43220964456878;0.0;6.797790355431225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2737367544323206e-13;9.086586068601246;0.0;-1.1368683772161603e-13;0.0;1.1368683772161603e-13;16.315799999999996;9.472812770448503;16.39180116095006;0.38299999999996714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.7;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;32.103600000000114;0.8873999999999569;13.78899999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
