LABELS;S_16;S_9;S_20;S_8;C_20;C_9;S_15;C_16;S_22;S_28;S_18;C_28;C_8;S_7;S_12;C_18;S_27;S_29;C_29;C_12;S_26;C_26;S_14;C_15;S_11;S_1;C_11;C_22;S_13;S_6;S_3;C_6;C_7;S_23;S_24;C_3;C_13;C_27;S_10;C_23;C_24;S_2;S_21;C_10;S_19;C_14;C_19;C_2;S_4;S_0;C_1;S_17;C_17;C_0;S_5;C_5;S_25;C_4;C_21;C_25
JOB ID;16;9;20;8;20;9;15;16;22;28;18;28;8;7;12;18;27;29;29;12;26;26;14;15;11;1;11;22;13;6;3;6;7;23;24;3;13;27;10;23;24;2;21;10;19;14;19;2;4;0;1;17;17;0;5;5;25;4;21;25
EVENT TYPE;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;0;1;0;1;1;1
TIME;1.41;2.01;4.026072874493927;5.42;5.42;5.66;6.43;6.43;6.84;6.96;8.207710437710443;8.32;8.61;9.86;9.86;9.86;9.86;10.05;12.45317700453858;13.617372984438077;13.617372984438079;15.949999999999998;15.95;15.95;16.62;18.245098663090154;18.788678071539657;18.788678071539657;18.78867807153966;19.989714912658126;21.68;21.68;21.68;22.463455497382206;22.463455497382206;23.859999999999985;23.859999999999985;23.859999999999985;23.86;25.43;25.43;26.17;26.17;26.75;26.75;29.11;31.23;31.81;32.2;32.49;32.49;32.92;35.26;36.62;37.78563647626049;39.8;40.93672593781506;41.94440784863349;43.85;46.1
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.935799999999972;0.0;48.068200000000054;6.175999999999981;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.405040435458929;0.0;2.9444407055788275;0.0;3.0763188589622104;1.425889005235618;0.0;0.0;2.5417109947643866;0.0;0.0;2.857400000000027;0.0;0.0;1.3468000000000018;0.0;0.0;1.0555999999999983;4.295200000000001;0.0;3.858399999999996;1.0555999999999983;0.7098000000000084;0.5277999999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.509999999999991;22.420000000000016;0.0;33.870000000000005;5.509999999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.821424083769784;0.0;0.0;16.968575916230215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.719899999999775;5.1901000000000295;0.0;3.2759999999999962;1.9039999999999964;57.26772007867802;2.8201089332353035;1.5914163129410923;1.410754675145796;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.25;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7545999999999857;0.0;6.200196671709534;3.0036256281407105;6.0181777001497565;0.0;0.0;1.7286000000000072;0.0;4.192754550772598;1.40243487379972;0.0;3.098675050085653;0.0;4.360935525342036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;9.583200000000003;0.0;23.656899999999908;0.0;17.71199999999999;4.412399999999991;27.84889696969708;0.17180303030302468;7.8648000000000025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;73.60682064777328;14.85997935222673;0.4032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.535749214660356;0.0;-6.821210263296962e-13;30.0722507853403;0.0;0.0;18.79200000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
