LABELS;S_16;S_24;S_13;C_24;S_20;S_2;S_23;C_13;S_14;C_23;S_25;S_3;S_9;S_10;C_2;C_16;C_20;C_25;C_10;S_17;S_11;C_9;C_14;S_29;C_3;S_15;S_4;C_29;C_11;S_26;C_4;S_1;C_15;S_6;C_26;S_12;C_6;C_17;S_18;S_22;S_28;S_21;S_27;C_21;S_5;C_18;C_28;C_1;C_27;S_19;C_22;C_12;C_5;S_7;C_7;S_0;S_8;C_19;C_0;C_8
JOB ID;16;24;13;24;20;2;23;13;14;23;25;3;9;10;2;16;20;25;10;17;11;9;14;29;3;15;4;29;11;26;4;1;15;6;26;12;6;17;18;22;28;21;27;21;5;18;28;1;27;19;22;12;5;7;7;0;8;19;0;8
EVENT TYPE;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1
TIME;0.03675012433171765;0.15589208006962574;1.38;1.38;1.63;2.03;2.03;3.4;5.18;5.18;5.962512342292917;5.962512342292918;6.91;6.91;6.910000000000001;6.910000000000001;8.6;11.709999999999999;11.71;12.833802802543175;13.016393573089601;13.06;13.06;13.06;13.27;13.27;14.14;17.13;17.249999999999996;17.25;17.9;18.12;19.07;22.141191381495563;22.141191381495563;24.199999999999996;24.2;24.2;24.2;24.2;24.2;24.230243492863142;24.49;25.42;25.77366132626796;25.77366132626796;27.01;27.64;29.75;30.356976744186042;30.356976744186042;34.15;34.45;40.53;43.28;44.83;45.13;45.13;50.07;50.07
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.736000000000047;0.0;31.053999999999952;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.038329508258094;43.31349710771149;11.796973384030423;0.0;0.0;0.0;0.0;0.17329521410579218;0.0;0.0;1.4884047858941756;5.328900000000033;2.026479399515381;0.0;7.0842206004846275;3.609899999999982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;6.562300000000002;9.39070000000001;7.398564893034099;0.0;12.658435106966635;-7.460698725481052e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.835722929237583;6.892264536872972e-13;0.0;13.976300000000002;0.0;0.0;25.71969999999999;0.0;35.20092624779381;1.5100256724189336;0.3606251505489979;0.0;0.0;1.736699999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.099499999999992;2.7724999999999937;0.0;16.848000000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.023837992520953;4.088699999999989;13.693900000000014;28.90423255813903;0.0;24.61672093023259;10.922608519107428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.03;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.79;0.0;0.0
