LABELS;S_20;S_24;S_13;S_23;C_24;C_20;S_14;S_26;S_3;S_5;C_13;S_17;C_3;C_26;C_23;S_11;C_14;C_11;S_12;S_2;S_22;C_17;S_25;S_10;S_15;C_2;C_25;S_19;S_21;C_5;C_15;S_29;C_12;C_22;C_10;S_7;C_29;S_9;C_21;S_8;S_16;C_16;C_7;S_4;S_6;C_9;C_19;S_1;C_6;S_28;C_8;S_0;C_4;S_27;C_28;S_18;C_0;C_1;C_27;C_18
JOB ID;20;24;13;23;24;20;14;26;3;5;13;17;3;26;23;11;14;11;12;2;22;17;25;10;15;2;25;19;21;5;15;29;12;22;10;7;29;9;21;8;16;16;7;4;6;9;19;1;6;28;8;0;4;27;28;18;0;1;27;18
EVENT TYPE;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1
TIME;0.0;0.06661836998706322;2.15;2.15;2.15;2.69;2.99;4.54;5.03;5.29;5.29;5.3948156182212585;8.22;8.22;8.341545574636724;8.36;8.36;9.490561870737254;9.490561870737254;10.01;11.6366380240414;12.29390577537593;12.4875;13.78;14.29;14.34;14.8;14.91;15.11;15.57;15.920738805970156;15.920738805970156;15.920738805970158;15.920738805970158;17.205769930023468;17.21;17.21;18.35;19.61;20.01;20.61;23.18;23.22;24.97;25.113411371237454;25.113411371237454;25.48;25.8;26.69;26.69;27.06;27.060000000000002;27.43;27.81;28.21;30.01989260735263;30.751271186440682;30.751271186440682;32.27;36.61
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9203000000000259;1.9721999999999866;2.076000000000022;2.8956451745329765;3.7958548254669893;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.200800000000001;0.0;1.7463999999999942;0.0;1.7463999999999942;1.7935999999999979;1.8880000000000052;8.542693106704405;3.452106893295603;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.88516434949506;8.551053444862262;4.859215038064136;2.5925671675785438;0.6120000000000019;0.05999999999999872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.432399999999991;3.0114622559652737;0.0;36.58613774403474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.254426755852819;5.76277324414724;0.0;5.030399999999986;12.54900000000005;0.0;4.056999999999917;0.0;5.816399999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8426080260304065;0.0;20.11531279826464;3.015545706737086;0.0;0.5975542932629025;8.04960051964925;0.0;0.0;3.6983994803507443;11.581662731174774;4.679746389501858;1.3783908793233763;11.916379175704959;3.631200000000007;0.35600000000000875;3.275199999999998;0.7831999999999937;1.4239999999999924;3.2752000000000123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.961000000000027;0.0;9.567999999999984;26.61099999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
