LABELS;S_4;S_24;S_10;C_24;S_8;C_4;S_7;C_10;S_29;C_8;S_2;S_19;C_29;C_7;C_19;S_6;S_18;C_2;S_23;S_3;S_25;C_18;C_23;C_6;S_22;C_25;C_3;S_13;S_5;S_0;C_22;C_5;S_26;C_0;S_1;C_13;S_28;S_21;C_1;S_15;C_21;C_26;C_15;S_17;S_11;S_14;C_28;C_11;S_16;S_20;S_27;S_9;C_14;C_27;S_12;C_17;C_12;C_20;C_9;C_16
JOB ID;4;24;10;24;8;4;7;10;29;8;2;19;29;7;19;6;18;2;23;3;25;18;23;6;22;25;3;13;5;0;22;5;26;0;1;13;28;21;1;15;21;26;15;17;11;14;28;11;16;20;27;9;14;27;12;17;12;20;9;16
EVENT TYPE;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1
TIME;0.0;0.0;1.0693621301775147;1.0693621301775147;1.1630302810865067;3.0774309844002152;3.0774309844002152;3.0774309844002152;3.0774309844002152;4.07;4.45;4.732499148791282;4.732499148791283;4.947946040265734;6.55;6.77;7.5355761629632525;9.4;9.4;9.69;9.69;9.77;11.66;12.9;13.16;13.34;13.721820403176544;13.721820403176544;13.95;14.86;14.86;15.89;15.89;16.47;16.59;17.63;17.63;17.88;18.56;19.179674267100975;19.179674267100975;19.179674267100975;21.55;21.55;21.550000000000004;21.89;21.89;24.56;24.89;24.89;24.89;26.078860435339305;26.078860435339305;26.078860435339305;26.18;27.73;27.742119967132304;28.54;29.01;36.43
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.903200000000027;0.0;0.0;4.446799999999975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.229599999999948;0.0;4.622500000000002;7.247900000000051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42939870616275044;0.32747927504116614;0.0;33.05037318931792;6.281000000000006;21.85719945260086;12.304549376877304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3832000000000022;9.0531;41.552400000000006;11.400999999999996;1.8396000000000043;10.140700000000038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;7.098106508875738;0.8345832245991183;0.0;17.057310266525143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.566100000000027;33.09389999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.916057525040046;5.5964424749600425;0.0;0.5771000000000015;0.0;0.159200000000002;6.589599999999919;12.82159999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
