LABELS;S_14;S_44;S_6;S_7;C_44;S_33;C_6;S_10;C_14;S_28;S_48;S_39;C_48;S_13;C_28;C_33;C_39;S_31;S_21;C_7;C_13;S_18;C_31;S_49;S_0;C_10;C_21;C_49;S_32;C_32;S_46;C_0;C_18;S_17;S_26;C_46;S_27;S_29;S_3;S_12;S_40;C_17;S_41;C_26;C_40;S_25;C_12;C_27;S_24;C_29;S_45;S_20;S_34;C_25;C_20;S_23;S_2;C_41;C_34;C_45;S_8;C_23;C_24;S_37;C_8;S_11;C_37;S_19;C_2;S_1;S_16;C_1;C_3;C_11;C_19;S_30;S_42;S_15;S_22;S_5;C_30;S_35;C_42;S_47;C_16;S_9;S_43;C_5;C_43;S_36;C_9;C_47;C_35;S_38;C_22;C_15;C_36;C_38;S_4;C_4
JOB ID;14;44;6;7;44;33;6;10;14;28;48;39;48;13;28;33;39;31;21;7;13;18;31;49;0;10;21;49;32;32;46;0;18;17;26;46;27;29;3;12;40;17;41;26;40;25;12;27;24;29;45;20;34;25;20;23;2;41;34;45;8;23;24;37;8;11;37;19;2;1;16;1;3;11;19;30;42;15;22;5;30;35;42;47;16;9;43;5;43;36;9;47;35;38;22;15;36;38;4;4
EVENT TYPE;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;0;1
TIME;2.42;2.65;3.5486600496277907;3.5486600496277907;4.84;6.119999999999999;6.12;6.12;6.12;6.12;6.12;8.677161438408568;8.677161438408568;11.15;11.15;11.15;11.15;11.150000000000002;12.05;12.446236647493837;13.74;13.74;13.74;14.055877192982456;16.07753739930955;16.13;16.13;16.13;16.47;19.326965274282838;19.326965274282838;21.02;21.02;22.03;23.229999999999997;23.229999999999997;23.23;23.69;23.74;23.883224592220845;24.57;24.57000000000001;25.621194310612907;25.788983050847477;25.95295478444831;26.02;26.020000000000003;26.020000000000007;26.214931996633943;27.76;27.76;28.167222685571314;28.66;30.677430730478587;31.4;32.38;32.449999999999996;32.45;32.45000000000001;33.19;33.788967718625635;35.19776442677364;35.19776442677364;35.19776442677364;37.12073242450799;37.12073242450799;37.12073242450799;38.33;38.66;39.5802019298146;39.5802019298146;41.19531684995485;41.19531684995485;41.19531684995485;41.19531684995485;41.19531684995485;41.19531684995485;42.72;42.72;44.18469267996813;44.18469267996813;44.18469267996813;44.18469267996813;44.18469267996813;44.2172345934475;46.53;46.68;48.426185397541346;50.51455864742347;51.909931016952854;52.629999999999995;52.63;53.02;53.089999999999996;53.09;53.1114718235844;54.57;60.97;72.61894736842106;79.04
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45590000000000686;0.0;2.9545999999999992;0.0;24.827028233517865;0.0;14.712471766482132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.58411764705886;0.0;7.037870693851232;5.043492215169849;0.0;0.0;6.884225431888993;0.0;14.208894012031067;0.0;1.1813999999999965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49269259723971004;2.362507402760329;3.6161084285084115;0.0;0.5771932664069084;0.5640627635868611;0.23063554149784693;8.22613025795249;0.0;0.0;5.3150339315792365;0.0;1.4008460383653158;1.6951539616346878;6.9399617128463404;2.485638287153648;3.371200000000016;0.2407999999999788;0.0;2.545599999999979;0.0;2.0604489520721927;27.3944065226527;0.0;0.0;6.615009912206176;0.0;4.159880459692502;0.0;1.1351999999999975;3.1654946385622225;5.555995325282453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.84;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2349526153211059;0.0;0.0;29.09458881443038;1.08299999999997;12.607458570248525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;20.816400000000016;20.633599999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
