LABELS;S_19;S_45;S_41;C_45;C_19;S_0;C_41;S_37;S_38;S_48;S_32;S_15;C_48;S_12;C_12;S_17;C_38;C_15;C_0;S_27;S_9;S_25;S_23;C_27;C_17;C_32;S_7;C_7;C_9;C_23;C_25;C_37;S_39;S_30;C_30;C_39;S_28;S_18;C_28;S_36;S_11;C_18;S_44;S_24;S_33;C_36;S_29;S_14;S_40;S_20;S_47;C_33;S_16;S_3;S_43;C_20;C_29;C_40;C_16;S_35;C_43;C_47;S_13;S_8;C_11;C_14;S_22;C_24;S_10;S_5;C_3;C_13;S_31;C_35;S_21;S_1;S_2;C_31;S_49;S_34;C_10;C_21;C_8;C_22;S_6;C_2;S_26;C_34;C_44;S_46;C_49;C_6;S_42;S_4;C_1;C_4;C_26;C_46;C_5;C_42
JOB ID;19;45;41;45;19;0;41;37;38;48;32;15;48;12;12;17;38;15;0;27;9;25;23;27;17;32;7;7;9;23;25;37;39;30;30;39;28;18;28;36;11;18;44;24;33;36;29;14;40;20;47;33;16;3;43;20;29;40;16;35;43;47;13;8;11;14;22;24;10;5;3;13;31;35;21;1;2;31;49;34;10;21;8;22;6;2;26;34;44;46;49;6;42;4;1;4;26;46;5;42
EVENT TYPE;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1
TIME;0.63;1.8993835314839278;4.0;4.0;5.36;5.76;5.76;6.082765957446815;6.082765957446815;6.082765957446815;7.550513305198988;7.550513305198989;7.92;8.427723633108581;10.87;10.87;10.87;10.870000000000006;12.769999999999998;12.77;14.060936772970658;14.060936772970658;14.537537826685007;14.537537826685007;15.094206813485066;15.094206813485066;15.094206813485071;18.365207235604114;18.365207235604114;20.27;20.27;20.27;20.27;21.396094146494455;24.118316368716677;24.118316368716677;24.56;25.19;26.40140247391391;26.40140247391391;26.96;28.81900038697606;29.630864977792378;29.87952073930799;29.87952073930799;29.87952073930799;30.14836940219496;31.94592173105849;32.959999999999994;32.96;32.96;33.777351129363566;33.77735112936357;34.639999999999986;34.64;34.97;34.97;36.29039187227867;37.9;37.9;37.9;37.9;38.19;41.17;41.17;41.17;41.17;41.17;42.025140924464495;44.920251497005985;46.27;46.27;46.27;46.27;46.871224799332445;49.66232128185559;49.66232128185559;49.66232128185559;50.98;50.980000000000004;51.438609683308414;51.438609683308414;51.76;51.76;53.28884338154979;53.346906077348066;53.346906077348066;53.346906077348066;53.346906077348066;53.346906077348066;55.72;56.56;59.36466321243524;59.51331343739607;61.1289757534194;61.1289757534194;61.59;63.04;63.76;64.16
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;7.859351063829962;0.0;0.0;2.4071056503135644;0.6059581794736602;0.0;0.8326667582980729;4.005333241701937;0.0;26.8995851063828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.59844437125031;0.0;1.1006632399402037;0.7713367600597962;0.0;0.0;3.6692241157195014;0.1393504699158662;0.0;0.0;0.0;0.0;5.695425414364621;3.7927040388533584;6.73119170984458;1.5340703215957774;3.8775895584559805;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.936479005524916;0.0;4.829159965237636;3.3842400347623425;0.0;0.0;16.098720807719246;0.6114001867558727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6072000000000273;0.0;0.0;2.4295210449927396;2.961678955007258;0.0;0.0;0.5335999999999927;0.0;5.483200000000011;0.0;0.0;0.0;1.5734593010146654;0.0;5.327003453476343;25.02433724550893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.179999999999836;1.6342482922482304e-13;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.014095900905644;9.228800669753014;0.0;0.0;0.0;2.7352745528726814;0.0;0.0;1.2913251437815134;0.0;0.44943748964224284;0.314962510357752;0.0;0.0;1.4982665139188;0.056901441882310166;0.0;0.0;0.0;0.0;2.3256320441988905;0.823200000000007;2.7485699481865282;2.2817809531487683;1.5833490697028552;0.0;0.45180376164899627;1.4209999999999923;0.705600000000004;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1130618784529815;0.0;0.0;0.0;0.0;17.133738121546912;18.253200000000106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
