LABELS;S_23;S_9;S_22;S_35;C_23;S_42;S_43;C_22;C_35;S_5;C_9;S_26;C_42;S_8;C_43;S_49;S_2;S_20;S_33;S_29;C_5;C_26;C_49;C_2;C_8;S_16;C_29;S_3;S_46;C_3;C_16;S_40;C_33;S_27;C_20;C_46;S_11;S_30;C_40;S_1;S_21;C_1;S_17;C_27;S_48;S_41;C_30;S_0;C_21;S_39;C_17;S_14;C_48;C_0;C_11;S_45;S_36;C_41;S_47;S_19;S_10;S_32;C_47;C_19;S_25;C_10;S_44;C_45;C_32;C_14;S_18;S_6;S_15;S_37;S_38;C_39;C_44;C_25;C_36;S_12;C_18;S_31;S_28;S_24;C_15;C_38;C_24;C_37;C_6;S_7;C_28;S_34;S_13;S_4;C_34;C_7;C_4;C_12;C_31;C_13
JOB ID;23;9;22;35;23;42;43;22;35;5;9;26;42;8;43;49;2;20;33;29;5;26;49;2;8;16;29;3;46;3;16;40;33;27;20;46;11;30;40;1;21;1;17;27;48;41;30;0;21;39;17;14;48;0;11;45;36;41;47;19;10;32;47;19;25;10;44;45;32;14;18;6;15;37;38;39;44;25;36;12;18;31;28;24;15;38;24;37;6;7;28;34;13;4;34;7;4;12;31;13
EVENT TYPE;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1
TIME;0.0;7.6499999999999995;7.65;7.65;7.755983565737052;7.755983565737052;8.49;10.522287121745249;10.52228712174525;10.92;10.92;10.92;10.92;12.08;12.69;12.69;12.690000000000001;12.690000000000001;13.913747444518263;14.279999999999996;14.28;14.606617021276602;15.524900972771283;15.524900972771285;15.524900972771285;17.23541415597487;18.46749999999999;18.467499999999994;19.02230055337882;20.86831799591001;20.86831799591001;20.86831799591001;21.565060526225132;22.174213197969543;22.26;22.26;23.51;23.51;23.51;24.04;26.60907742544309;26.93899689974001;26.93899689974001;27.1;27.17;28.48;29.431447578337963;30.44;30.44;30.54;30.941425014755968;33.22;33.22;34.154070729872096;34.154070729872096;34.154070729872096;34.5978892939235;34.5978892939235;34.5978892939235;35.49722716031774;36.36;37.72;37.72;37.83332848190364;37.83332848190364;40.25;40.25;40.25;40.82;41.48030059734469;42.47336717241471;44.93;44.93;44.93;44.93;44.93;44.93;44.93000000000001;45.59;46.67;46.67;46.67;46.96;47.62;49.42;49.42;51.25;51.25;53.74;53.74;53.74;58.53099383359321;59.49;59.69406424581006;59.69406424581006;62.199999999999996;62.2;62.2;62.2;63.58
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3289999999999509;0.0;5.3349384461068325;30.282261553893136;12.413800000000151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.64768900376207;3.6423109962379385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.875641877262396;0.0;0.0;0.0;2.9556581227375887;0.0;2.6357993617021975;21.99290063829782;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7129747060224645;9.02702529397753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.77;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.75199999999998;0.0;0.0;0.0;13.54200000000003;11.157247050418428;0.0;0.0;0.0;7.5887529495815595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8050000000000352;0.0;0.0;0.0;0.0;0.0;4.589999999999975;1.232500000000016;0.0;0.0;2.8049999999999784;7.650000000000006;0.0;7.777500000000003;15.779999999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
