LABELS;S_48;S_17;S_41;S_12;C_17;C_41;C_48;S_36;S_3;S_27;S_37;C_12;C_37;C_36;S_10;S_21;S_6;C_27;S_13;S_20;C_21;S_30;C_3;S_25;S_5;C_6;S_8;C_13;S_14;C_20;C_25;S_39;S_18;C_30;C_18;C_10;C_8;C_39;S_28;S_2;C_14;C_28;S_32;S_44;C_5;C_32;S_43;S_0;S_11;S_22;C_44;C_2;S_40;S_16;C_11;C_0;C_16;S_24;S_46;S_47;S_49;S_34;S_35;S_29;C_24;C_34;C_47;C_43;C_35;S_23;S_33;C_22;S_31;C_46;C_31;S_9;S_4;C_29;C_49;S_42;S_26;C_23;S_1;S_7;C_4;S_38;S_19;C_1;S_45;C_33;C_9;C_26;C_40;S_15;C_38;C_45;C_42;C_19;C_7;C_15
JOB ID;48;17;41;12;17;41;48;36;3;27;37;12;37;36;10;21;6;27;13;20;21;30;3;25;5;6;8;13;14;20;25;39;18;30;18;10;8;39;28;2;14;28;32;44;5;32;43;0;11;22;44;2;40;16;11;0;16;24;46;47;49;34;35;29;24;34;47;43;35;23;33;22;31;46;31;9;4;29;49;42;26;23;1;7;4;38;19;1;45;33;9;26;40;15;38;45;42;19;7;15
EVENT TYPE;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1
TIME;2.29;3.9549453306458133;4.95769401330377;5.77;6.92;6.920000000000001;7.229663754123279;8.16;10.89;11.310165323665755;13.775681673575406;15.281099630231752;15.281099630231752;15.629999999999999;15.63;15.63;15.630000000000004;15.630000000000004;17.06881856540085;17.06881856540085;17.06881856540085;17.06881856540085;17.068818565400854;17.1256237579175;20.56;20.56;20.560000000000002;20.560000000000002;20.560000000000002;20.560000000000002;20.560000000000002;21.5;21.96;23.03912457912458;23.039124579124582;23.69;23.89;25.259402823018462;25.870640316205538;27.25;27.64;27.640000000000004;28.381528528206783;32.07;32.64;34.67;34.67;34.88835384615385;34.88835384615385;34.88835384615385;35.19;36.63;36.63;36.63000000000001;39.0935262054397;39.64592850049653;39.64592850049653;39.64592850049653;39.64592850049653;39.64592850049653;39.64592850049653;41.89959803921572;43.51;44.35;44.35000000000001;46.76;47.40999999999999;47.41;47.41000000000001;47.41000000000002;50.01528408724633;50.015284087246336;50.015284087246336;50.015284087246336;51.979999999999926;51.97999999999998;51.97999999999999;51.98;51.99687224669606;51.99687224669607;53.199999999999996;53.2;53.20000000000002;53.72;56.49;56.49;56.49000000000002;56.6;56.96009154959901;56.960091549599014;57.59492537313428;62.45;62.95250169186428;62.952501691864285;64.34439560439559;64.3443956043956;65.02;66.75;67.95;67.95
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7947946153845749;0.0;13.400430806661305;14.657980922366193;-2.2737367544323206e-13;0.0;3.2867936555881556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5875999999999948;0.0;13.358100000000228;0.0;0.12430000000000518;-2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.934499999999886;3.5593369353925652;0.0;17.704663064607445;2.73599999999999;22.837499999999892;1.0480984615384727;0.0;0.0;1.4479015384615082;0.0;6.912000000000035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.050295775005416;29.83274783390678;18.215557275541784;0.0;4.2216944741958;0.0;0.0;0.0;17.40970464135023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4366537444941514;0.0;9.288146255506433;0.0;13.457599999999957;-6.821210263296962e-13;71.68760000000066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.2737367544323206e-13;0.0;3.6189999999999998;0.0;0.0;0.0;0.0;1.7710000000000008;4.154629629629639;2.505870370370374;0.0;0.769999999999996;20.749996227270643;2.353264348770239;5.310534782608684;1.5015000000000072;33.517089474946516;0.0;14.200615166403892;3.6765000000001464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.575147679324914;0.0;0.0;0.0;0.0;0.0;0.31526881846740196;45.21958350220768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
