LABELS;S_39;S_46;S_32;C_46;S_36;S_48;S_30;C_32;C_39;S_10;S_20;S_17;C_30;C_36;C_20;S_19;C_10;S_34;S_44;C_17;C_34;C_48;C_19;S_24;S_29;S_45;C_44;C_29;S_27;C_27;S_31;C_24;C_31;S_28;C_45;S_26;S_37;S_0;S_2;S_38;C_28;S_43;C_26;C_0;C_2;S_13;S_33;S_12;C_13;C_37;C_38;S_22;C_43;C_33;C_12;S_42;S_49;C_22;S_23;S_6;S_40;C_42;S_21;S_16;S_18;C_23;C_21;S_41;S_8;C_18;S_11;S_15;C_49;C_40;C_6;C_8;C_15;S_3;S_1;S_4;S_35;C_41;C_1;C_35;S_47;S_25;C_47;C_11;S_7;S_14;S_5;C_7;C_16;C_25;C_14;C_5;S_9;C_4;C_9;C_3
JOB ID;39;46;32;46;36;48;30;32;39;10;20;17;30;36;20;19;10;34;44;17;34;48;19;24;29;45;44;29;27;27;31;24;31;28;45;26;37;0;2;38;28;43;26;0;2;13;33;12;13;37;38;22;43;33;12;42;49;22;23;6;40;42;21;16;18;23;21;41;8;18;11;15;49;40;6;8;15;3;1;4;35;41;1;35;47;25;47;11;7;14;5;7;16;25;14;5;9;4;9;3
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1
TIME;0.0;0.0;1.4732142857142856;1.4732142857142856;2.934058480569464;3.176111685625647;4.04;4.34;4.34;5.57;6.08;7.26;7.26;7.38;7.643250600480383;9.143740458015275;9.63;9.63;9.63;10.63;12.9;12.9;14.03;14.61;15.57;16.01;16.864104046242776;17.973374233128833;17.992150313152404;19.26;19.26;20.71386221294364;20.71386221294364;20.75;21.149999999999995;21.15;21.48671232876712;21.486712328767123;21.683748458692975;22.36;24.46;25.36;26.319999999999997;26.32;26.32;26.32;27.72;28.43449685534591;28.61;28.61;28.61;30.65;30.65;30.73948749892245;31.73;31.73;31.76;33.27;33.67;33.71;35.32;35.32;37.1;37.66;38.57;38.57;39.43995123732782;39.43995123732782;39.63;39.98;40.94970251716247;40.94970251716248;40.94970251716248;41.25;42.23;42.43;42.97;43.35;43.69;44.13;44.13;44.13;46.14129434793246;46.14129434793246;46.14129434793246;47.34;48.41;48.53;48.93205567451822;48.93205567451822;51.59;51.59;51.94;52.34;52.81;52.93414836154122;53.665874799357944;55.96;57.28;68.52
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.280734844518065;4.395635018495653;1.6380000000000017;5.849999999999994;4.695630136986285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.438399999999945;72.00160000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.484400000000001;17.031000000000006;7.298999999999978;7.7856000000000165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.954599999999914;0.8580000000000041;3.9220239784682853;0.0;0.0;0.0;0.0;2.337476021531714;2.0864999999999867;0.23400000000000887;0.7840085653105291;0.0;5.182991434689484;0.6824999999999761;0.0;0.7800000000000153;0.9164999999999992;0.24208930500537917;29.78858328351862;4.473544141252006;2.573999999999998;27.53318327022407;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938965500366976;0.0;0.0;0.0;0.0;4.1355344996330246;3.6914999999999907;0.4140000000000157;1.387092077087857;0.0;19.166407922912157;1.2074999999999818;0.0;1.3799999999999955;1.6214999999999975;0.42831184731721805;2.52445621046769;7.914731942215099;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.642500000000297;0.0;11.108000000000175;13.051899999999932;3.4475999999995963;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.302094634450484;15.107819908466695;0.0;2.7551999999999737;4.4772000000000105;0.0;4.280160087652878;0.0;5.165525369430021;1.72199999999998;4.770936384439409;1.4774636155606231;0.0;0.0;4.8215999999999894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
