LABELS;S_6;S_47;S_49;S_8;C_47;C_49;C_6;C_8;S_32;S_45;S_9;C_9;S_7;C_45;S_23;S_27;S_31;C_7;C_32;S_39;S_44;C_31;C_23;S_3;S_21;C_44;S_29;C_3;S_40;S_2;C_29;S_24;C_39;C_21;C_27;C_40;S_34;S_42;S_5;C_2;C_34;C_42;C_24;S_13;S_43;S_0;C_13;C_43;C_5;C_0;S_38;S_16;S_25;S_48;C_38;S_15;C_16;S_10;S_41;C_48;S_1;C_25;C_10;C_15;S_22;S_33;C_41;S_20;C_22;C_33;C_1;S_14;S_37;S_18;S_4;S_28;C_20;C_4;S_19;S_35;C_14;S_12;C_28;C_37;C_18;S_26;C_12;C_19;C_35;C_26;S_11;S_46;C_11;S_36;S_17;C_17;C_46;S_30;C_36;C_30
JOB ID;6;47;49;8;47;49;6;8;32;45;9;9;7;45;23;27;31;7;32;39;44;31;23;3;21;44;29;3;40;2;29;24;39;21;27;40;34;42;5;2;34;42;24;13;43;0;13;43;5;0;38;16;25;48;38;15;16;10;41;48;1;25;10;15;22;33;41;20;22;33;1;14;37;18;4;28;20;4;19;35;14;12;28;37;18;26;12;19;35;26;11;46;11;36;17;17;46;30;36;30
EVENT TYPE;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1
TIME;0.0;0.0;0.0;0.56;1.55;2.374618604651162;2.6794982456140346;2.6794982456140346;2.6794982456140346;3.2246200893907306;3.5070495258166483;5.31;5.86;5.86;6.78;7.9;7.9;8.182992518703243;8.182992518703243;8.182992518703243;8.182992518703243;9.22;10.032457223336056;10.14;11.117962157195919;11.117962157195919;13.78414216385955;14.25;15.479999999999999;15.48;17.549999999999997;17.55;17.55;19.9;19.9;19.9;21.569902011346056;23.119999999999997;23.12;24.9;24.9;25.46231782265145;26.12;27.42;28.292154631994425;29.33;29.33;29.33;30.05;30.865887999999995;30.865887999999995;31.73;31.73;31.92;32.12;34.23;34.23;35.18470835964312;35.98;35.98;37.06;38.78;38.98;39.25;39.37;40.14;41.26;42.031621473684204;42.031621473684204;42.031621473684204;42.7;43.03364093871041;43.03364093871041;43.64;43.69;43.69;44.91;45.18631190727081;45.18631190727081;45.18631190727081;46.13;47.74;47.74;47.74;47.92;51.02;51.89;51.89;51.89;52.29125059438897;55.55;58.81;59.589999999999996;59.59;59.93;62.45;62.45;63.18;63.74;64.921032
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.08560000000023;0.0;0.0;40.79439999999977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.828;0.11999999999999744;0.1620000000000026;0.07199999999999562;0.4620000000000033;0.671999999999997;0.46297288421052585;0.40102711578947847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.336799999999993;0.0;0.0;46.64319999999999;0.0;0.0;6.1619384218669495;5.719861578133057;6.5682000000000045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.096049083833798;27.541639468835335;0.0;4.81231144733087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.15560000000005;0.0;5.244399999999949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4760000000002975;0.0;0.0;0.7141436347673462;4.734650189239879;1.6509999999999962;14.791742558625401;1.3180636173670806;0.9144000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;3.0856000000000003;4.5508646666666674;4.543648511627902;1.6798868217054288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
