LABELS;S_0;S_6;C_0;S_2;C_6;S_9;S_3;C_3;S_5;S_7;S_1;C_2;C_7;S_8;C_9;C_5;C_1;S_4;C_8;C_4
JOB ID;0;6;0;2;6;9;3;3;5;7;1;2;7;8;9;5;1;4;8;4
EVENT TYPE;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1
TIME;0.02;1.25;3.682294;3.682294;3.682294;4.63;5.34;8.0;8.0;8.0;10.49;10.49;10.49;10.49;10.49;10.99;14.59;14.59;14.59;16.89166719094055
RESOURCE JOB 0;41.9553;31.734699999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.124999999999993;0.0;30.585000000000008;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;47.3853;0.0;30.047200000000004;13.655599999999993;0.0;0.0;5.751899999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;69.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.17;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.334999999999997;0.0;0.0;0.0;1.7550000000000026;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;89.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.1200000000000045;0.0;78.14;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;5.452799999999996;39.744;0.0;0.0;19.123199999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
