LABELS;S_1;S_5;S_3;C_5;S_4;S_0;C_1;C_3;C_0;S_6;C_4;C_6;S_9;S_8;S_2;S_7;C_8;C_7;C_9;C_2
JOB ID;1;5;3;5;4;0;1;3;0;6;4;6;9;8;2;7;8;7;9;2
EVENT TYPE;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1
TIME;2.37;2.92882185356471;4.736290862290862;5.3;5.92;6.3;6.3;6.3;8.84;8.84;10.19264301230992;10.19264301230992;10.19264301230992;10.44;12.44;12.44;12.44;16.32;16.32;17.44
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;5.6161596283253346;18.16506353769783;5.058776833976832;6.231000000000002;3.8190000000000026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.203697320782;0.0;12.676302679217997;0.0;0.0
RESOURCE JOB 3;0.0;0.0;22.506600000000006;24.769;11.924399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;3.256599999999999;0.0;0.0;34.41124938450399;0.0;11.59215061549601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;41.11991994851995;0.6200800514800511;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.73;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.17;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.993697320782033;0.0;16.120000000000005;0.0;52.06630267921797;0.0;0.0;0.0;0.0
