LABELS;S_0;S_1;S_8;C_0;S_5;S_6;S_7;C_8;S_3;C_7;S_2;C_6;C_1;C_3;C_5;S_9;C_2;S_4;C_9;C_4
JOB ID;0;1;8;0;5;6;7;8;3;7;2;6;1;3;5;9;2;4;9;4
EVENT TYPE;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;0;1;0;1;1
TIME;2.32;3.320340425531916;3.3203404255319167;4.67;4.67;4.67;4.67;4.670000000000001;8.417346072186836;8.417346072186836;10.41;10.41;12.183949564173542;12.183949564173542;12.183949564173542;12.88;15.47;15.47;15.47;18.599032258064515
RESOURCE JOB 0;19.386597446808537;0.0;14.673402553191465;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;9.609576170212758;0.0;33.252206966841904;0.0;0.0;0.0;14.187695966029729;0.0;0.0;12.630520896915613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.33807548603832;0.0;0.0;30.828024513961665;23.85390000000001;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.95739532908702;0.0;0.0;42.04260467091298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.67;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;52.68696318489255;0.0;0.0;0.0;19.866759660297248;0.0;0.0;17.6862771548102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;28.629154564755837;0.0;0.0;0.0;10.620845435244163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;17.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;43.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.45;0.0;0.0;0.0;0.0
