LABELS;S_5;S_6;C_6;S_8;S_3;C_3;S_2;C_5;C_8;S_9;S_4;S_7;S_0;C_0;S_1;C_2;C_4;C_9;C_1;C_7
JOB ID;5;6;6;8;3;3;2;5;8;9;4;7;0;0;1;2;4;9;1;7
EVENT TYPE;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1;1;1;1
TIME;0.32;0.32;3.07;3.07;3.32;4.679999999999999;4.68;4.68;4.68;4.68;7.34;7.34;7.813067758749067;9.65;9.69;9.69;11.27;11.27;11.337606810150978;13.96
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.18539999999996;2.1046000000000404;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;70.12950000000001;0.0;0.0;0.0;0.0;5.69100513775129;0.0;22.09829486224872;0.48119999999998697;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;15.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.966461057334286;0.0;9.697738942665715;0.0035999999999998256;0.0;0.1422000000000001;0.0;0.0;0.0;0.0
RESOURCE JOB 5;87.85;0.0;0.0;8.820800000000006;1.3191999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;49.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.461028965003706;0.0;25.525671034996293;0.377200000000002;0.0;14.8994;0.6375322197237239;0.0;24.72916778027627;0.0
RESOURCE JOB 8;0.0;0.0;0.0;3.6791999999999945;17.590800000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;56.58899999999999;0.0;0.0;0.0;0.0;1.750350707371549;0.0;6.796649292628455;0.14799999999999613;0.0;5.8459999999999965;0.0;0.0;0.0;0.0
