LABELS;S_0;S_1;S_7;C_0;C_1;S_3;C_7;S_5;S_6;C_3;S_8;S_4;C_5;C_6;C_8;S_2;C_4;S_9;C_9;C_2
JOB ID;0;1;7;0;1;3;7;5;6;3;8;4;5;6;8;2;4;9;9;2
EVENT TYPE;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1
TIME;0.13;2.16;3.76;4.21;4.21;5.34;6.23;7.15;7.15;8.45;8.45;9.48;9.480000000000002;10.95;10.95;12.04;12.04;12.76;15.76;16.38
RESOURCE JOB 0;81.65899999999999;1.951999999999999;0.5490000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;52.942;2.4480000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0;49.06200000000001;3.657999999999987;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;34.4226;46.0;14.437399999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.10029999999999;46.139700000000005;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.96629999999989;0.0;0.0;7.793700000000111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.596300000000056;0.0;0.0;12.215800000000016;0.0;30.927899999999923;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;14.836500000000001;37.2561;0.0;10.077399999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.658200000000022;0.0;20.47179999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.88;0.0;0.0
