LABELS;S_0;S_2;S_7;C_2;S_5;C_7;S_9;S_3;S_6;C_0;C_5;C_6;S_1;S_4;C_3;C_1;C_9;S_8;C_4;C_8
JOB ID;0;2;7;2;5;7;9;3;6;0;5;6;1;4;3;1;9;8;4;8
EVENT TYPE;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1
TIME;0.0;0.18744223427767753;0.18744223427767756;1.74;2.16;2.16;2.34;5.25885388538854;5.25885388538854;6.72;6.72;6.72;8.14;8.65;9.711027798432017;10.335883605393898;10.335883605393898;10.91;12.61;12.61
RESOURCE JOB 0;4.164966445649995;0.0;0.3570882861161342;0.09660000000000007;0.04139999999999994;0.0;19.493881661873235;0.3360636063606359;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.371799999999979;29.899763359814244;17.60843664018578;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;41.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.401590159015896;0.0;8.165000000000006;0.0;0.0;2.9324999999999974;6.100909840984102;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.212504760041192;5.080077710600079;9.117417529358718;0.0;24.24000000000001;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;4.957199999999986;0.0;79.05745346534655;14.465346534653463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;35.430799999999984;18.169200000000018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.76;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;19.119146521195766;1.1543054305430545;0.0;1.1218000000000012;0.0;0.0;0.4028999999999998;0.838211960761293;0.49363608749988597;0.0;0.0;0.0;0.0;0.0
