LABELS;S_9;S_4;C_9;C_4;S_7;S_6;C_7;S_2;S_3;C_6;S_5;S_1;S_0;C_2;C_5;S_8;C_0;C_1;C_3;C_8
JOB ID;9;4;9;4;7;6;7;2;3;6;5;1;0;2;5;8;0;1;3;8
EVENT TYPE;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1
TIME;0.0;1.92;3.656558155422715;3.8376;3.8376;5.12;5.12;6.609858712715855;6.796526845637582;6.86;7.24;7.53;8.3;10.04;10.36;10.36;10.65;10.65;10.69;13.7
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.01499999999994;0.6178000000000488;0.0;6.287200000000013;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.39200000000001;6.841999999999981;3.0720000000000027;0.0;2.784000000000006;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.189076006711403;0.4043239932885996;2.4206000000000003;1.8473000000000042;4.904899999999998;11.083799999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7566000000000344;4.864000000000004;3.7120000000000033;9.855999999999995;21.761399999999973;4.096000000000004;0.0;3.7120000000000175;0.511999999999972;0.0;0.0;0.0
RESOURCE JOB 4;0.0;65.1209308283518;8.909069171648198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.970100000000002;10.541300000000007;19.297799999999995;4.380799999999994;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;74.49293563579278;0.0;8.144330639374914;2.012733724832316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;64.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7167999999999637;0.10439999999999827;0.0;96.59880000000004;0.0
RESOURCE JOB 9;28.463023057216063;21.70697694278394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
