LABELS;S_4;S_14;S_3;S_11;S_13;C_11;C_3;S_5;S_7;C_14;C_4;S_6;C_13;S_10;S_8;S_9;S_0;S_2;C_5;C_6;C_7;S_1;C_8;C_10;C_2;C_1;S_12;C_9;C_0;C_12
JOB ID;4;14;3;11;13;11;3;5;7;14;4;6;13;10;8;9;0;2;5;6;7;1;8;10;2;1;12;9;0;12
EVENT TYPE;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1
TIME;1.32;2.679230769230766;2.6792307692307666;4.307981419137766;5.366611195158847;5.366611195158848;6.349999999999999;6.35;6.35;7.25;8.24;8.24;9.529999999999998;9.53;10.58;10.58;10.781674506814921;10.781674506814921;11.7;11.700000000000001;11.700000000000001;11.94;13.33;13.38;14.903496540713228;14.925358680057387;14.925358680057387;15.509999999999998;15.51;22.52
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.346603945480638;0.0;1.9200000000000017;0.0;0.0;11.120000000000005;0.644500000000022;12.187972325705811;0.1748971147533016;0.0;7.536026614060233;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.02040339885243;0.4000000000000057;35.54317429483956;0.7164223063080044;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.66899265566714;0.0;2.265599999999992;0.0;0.0;13.121600000000015;0.4719999999999942;14.381807344332856;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;21.17375844879099;13.762187088274047;0.0;12.78405446293496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;59.50712307692294;0.0;1.7101881824023502;1.111561264822135;0.0;1.0325582450832078;0.0;0.0;0.9450000000000012;2.8735692307693768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.341000000000001;19.324799999999982;1.9220999999999986;0.0;7.093300000000021;0.0;0.0;0.3004950151542314;1.3683049848457678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.015299999999982;0.0;5.155500000000011;0.0;0.0;0.9902218284612658;4.508978171538743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.472999999999985;17.991800000000033;42.03569999999997;0.0;0.36750000000000016;0.0;0.0;0.07058607738522227;0.32141392261477764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3188241953912438;8.29247920346127;0.0;2.1672000000000082;0.0;0.0;8.901496601147535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.861455697901718;8.476144302098277;0.0;2.215199999999996;0.0;0.0;12.829700000000017;0.4615000000000009;14.06187307078308;0.20178754614659056;0.0;19.952339383070324;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.88370000000008;0.0;0.0;5.542142526452347;6.933357473547588;0.0;3.432000000000002;0.0;0.0;8.506799999999998;0.5219999999999771;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;16.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7436999999999045;0.0;14.996300000000094;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;6.500200000000003;0.0;0.0;5.948999999999998;6.543900000000008;8.52689999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;19.33327021439608;11.071904672139446;0.0;11.672825113464462;0.0;0.0;5.292000000000009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
