LABELS;S_3;S_10;S_11;S_14;S_5;S_9;C_11;C_10;S_12;C_3;C_5;S_2;C_14;C_12;S_8;C_2;S_6;S_13;S_1;C_6;C_8;C_13;S_0;S_7;C_9;S_4;C_1;C_7;C_4;C_0
JOB ID;3;10;11;14;5;9;11;10;12;3;5;2;14;12;8;2;6;13;1;6;8;13;0;7;9;4;1;7;4;0
EVENT TYPE;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1;1
TIME;0.0;0.0;1.016819808848218;1.73;1.7300000000000002;2.688844087307279;3.28521445767765;3.37;3.37;3.3700000000000006;3.839999999999999;3.84;3.9;5.02;5.03;6.870538115623866;6.870538115623866;7.27;7.9;8.453466637483686;8.453466637483686;8.95;10.09;10.09;10.46;10.53;12.03;13.57;15.348438478982636;19.32
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3522000000000105;0.6341999999999786;13.590000000000003;13.952400000000011;16.112652619582676;46.74854738041732;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.750880420234878;0.0;0.41212269088853937;26.927596888876565;0.0;0.3071000000000019;2.0573000000000405;34.69499999999998;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2359999999999935;14.38829999999993;0.4404000000000252;59.38530000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;29.813156795429755;0.0;19.021243204570244;0.0;6.989973396470065;4.347540000000002;0.6180866035299353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.39;23.939363843688696;31.620636156311306;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;8.092644096873432;5.033365925925928;0.71558997720064;0.0;3.468399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.756245753860085;0.0;9.078300000000013;7.975454246139904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.808263843688705;0.8084999999999809;17.325000000000017;39.10823615631129;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.671998612074947;0.32755874518842987;0.0;0.5166000000000004;0.453842642736622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;8.384967407407428;1.4048964362813514;0.0;2.801199999999991;0.0;0.0;0.3576000000000015;6.675199999999997;0.059600000000003206;10.969607169118241;13.88928971975821;0.0;3.754800000000003;3.298661159402762;0.0;2.9593388405972334;30.072403111123492;0.0;10.032436156311283;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;15.47599749066988;0.0;8.108131266843532;0.0;10.691111573476169;3.9002622222222243;0.5544974467881723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;8.529635086175315;0.0;11.467775284195056;7.132589629629628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.426699999999954;0.0;0.0;0.7368000000000023;34.936500000000045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.1503;7.194493405670151;0.0;21.455206594329844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;10.700700014349234;1.0197933333333342;0.9462066523174357;0.0;0.8036999999999974;0.0;0.0;0.6696000000000026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
