LABELS;S_14;S_3;S_5;S_11;C_14;S_2;C_3;C_5;C_11;S_10;S_9;S_13;C_9;S_12;S_8;S_7;C_10;S_4;S_0;C_2;C_8;C_12;S_6;S_1;C_7;C_13;C_6;C_0;C_1;C_4
JOB ID;14;3;5;11;14;2;3;5;11;10;9;13;9;12;8;7;10;4;0;2;8;12;6;1;7;13;6;0;1;4
EVENT TYPE;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1
TIME;1.07;2.5742391304347834;2.5742391304347834;3.54;3.54;4.75;5.01;5.49;5.49;6.08;6.73;8.555913089842708;8.55591308984271;8.55591308984271;8.62;10.75;10.75;10.82;13.124056106890736;13.124056106890736;13.124056106890738;14.18;14.684526384473033;16.37;16.37;17.54;19.10484214735123;19.104842147351235;19.104842147351235;19.55856180473464
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.293002938420642;0.0;0.0;6.674884066578187;13.077007803587726;31.865507202820197;0.0;3.4895979885932533;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.389392797179823;0.0;21.150607202820176;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;6.1854000000000084;2.1408000000000023;0.0;2.6313999999999993;15.224909763267316;8.143572380698476;0.0;0.0;0.28582761930150724;9.499800000000008;0.0;0.31219999999999715;10.276090236732692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;15.52940000000001;17.745000000000005;0.0;4.565599999999989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.805824893270469;7.243775106729544;0.0;0.0;3.4610509974850174;11.562349002514992;8.026199999999989;0.0;10.734817130829509;22.685982869170473;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;3.5539999999999985;4.4528;0.0;0.9568000000000012;1.7664000000000009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.31681495468109;3.896099999999997;0.0;42.8670850453189;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.268100000000004;8.824534889391522;4.044265110608478;0.0;0.0;1.9323360525317241;8.530763947468039;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.344093175153247;0.0;1.9109999999999836;47.09490682484676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.169400000000024;14.662082111436945;0.0;0.0;0.5146178885630377;17.103899999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;38.3022;0.0;1.2922000000000011;2.3856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2218931751531983;45.50300682484679;0.0;0.8099000000000132;26.657929156725814;12.217270843274179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1820068248467024;6.049200000000003;0.0;0.1988000000000021;6.543519343569692;2.998880656430316;0.0;0.0;13.15804810705671;4.786745068096587;3.3227999999999938;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;75.21195652173918;0.0;10.698043478260814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
