LABELS;S_2;S_10;S_12;S_1;S_7;S_6;C_10;C_12;S_5;C_7;C_1;C_2;S_9;C_5;S_11;S_14;C_6;S_8;S_3;C_8;C_9;C_11;S_0;C_14;S_13;C_3;S_4;C_0;C_13;C_4
JOB ID;2;10;12;1;7;6;10;12;5;7;1;2;9;5;11;14;6;8;3;8;9;11;0;14;13;3;4;0;13;4
EVENT TYPE;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;1;1
TIME;0.0;1.139024894317475;1.6;1.736466165413535;1.736466165413535;3.782180844096304;3.782180844096304;3.782180844096304;4.65;4.650000000000001;5.5;5.5;5.88;6.9;6.9;7.45;7.464232365145231;9.17;10.443318329582393;10.52;10.52;10.52;11.18;11.54;12.387419980601354;12.39;12.39;14.12;16.142775286497255;16.97
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.409999999999997;10.380894762366609;0.031605237633389294;0.0;59.61750000000001;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;3.6413721280553286;0.0;5.050627871944679;0.0;0.0;2.1079999999999934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;8.824149365904848;2.765850634095152;0.8187969924812073;12.274288072096613;0.0;5.2069149354221835;0.0;0.0;5.099999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0665000000000404;30.775799999999997;0.0;0.0;12.376800000000003;31.990104267701156;0.07079573229880509;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.046199999999999;42.46517080219223;18.918629197807775;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.231499999999983;0.0;13.06819999999999;0.0;31.41030000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;6.18755058159336;0.0;0.0;6.0604999999999976;0.0;2.515841534589196;0.0;5.0388000000000055;0.0;2.7169999999999987;0.07030788381744202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;10.88320209059233;0.0;4.616797909407669;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.249282320580136;0.26071767941986224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.55089999999997;0.0;8.292007883817512;0.01152821576763774;29.43206390041488;1.0313878469617377;0.062112153038263784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;15.608617078410301;2.02652255639099;16.774860365198705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.516500000000008;0.0741506224066697;17.10884937759333;3.0941635408852157;0.18633645911478425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;3.977988721804543;58.712011278195455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0266000000000588;0.0;17.836299999999994;40.59709999999995;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5556315352698107;38.74746846473018;4.291082770692661;0.2584172293073408;2.2242000000000033;0.0;0.0;1.2132000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0
