LABELS;S_11;S_9;S_3;S_5;C_9;C_11;S_12;S_1;C_5;S_7;C_7;C_1;S_0;S_6;S_13;S_2;S_8;C_3;S_14;C_0;C_8;C_12;C_6;S_10;S_4;C_2;C_13;C_4;C_10;C_14
JOB ID;11;9;3;5;9;11;12;1;5;7;7;1;0;6;13;2;8;3;14;0;8;12;6;10;4;2;13;4;10;14
EVENT TYPE;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1
TIME;0.0;0.32284842319430274;2.92;2.92;2.92;2.92;2.92;4.6589944671638195;4.6589944671638195;5.287116659436953;8.12;8.79;8.909999999999997;8.909999999999998;8.909999999999998;8.91;9.91836226851851;11.949999999999998;11.949999999999998;11.95;11.95;11.95;12.15;12.15;13.42;14.0;14.0;16.04;16.04;24.36
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.066898148148113;0.0;0.0;0.0;9.113101851851887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.45922551662167;0.0;55.91271747110988;17.318057012268447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.406298611111069;0.0;0.0;0.0;13.613201388888953;0.0;0.0;1.3340000000000032;0.0;0.0;0.0;8.4709;5.985599999999977;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.4869184508058695;7.1668742138364845;0.0;0.793207335357653;8.348199999999991;0.033600000000000296;0.28234143518518406;0.0;0.0;0.0;0.5688585648148163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.028000000000013;0.0;26.621999999999986;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;72.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.96261921296292;0.0;0.0;0.0;4.733715914351869;0.0;0.0;1.043664872685211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;76.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.046199999999999;6.414799999999985;0.0;64.98900000000002;0.0;0.0;0.0
RESOURCE JOB 11;16.142421159715138;42.33757884028486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;14.172804907385114;4.780009883198545;0.0;21.558242221684786;5.098699999999994;3.1939429877319085;12.205536863425763;-1.1368683772161603e-13;0.0;0.0;15.460763136574116;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.494419155092672;0.0;0.0;0.0;8.492245717592617;0.0;0.0;6.648335127314725;0.0;0.0;0.0;34.79799999999997;12.747000000000021;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9740000000000038;0.0;0.0;0.0;6.184899999999999;2.8246000000000038;0.0;9.934799999999996;0.0;58.7017;0.0
