LABELS;S_0;S_12;S_2;C_2;S_7;S_8;C_12;C_0;S_3;S_1;C_8;C_7;C_3;S_5;S_13;C_5;C_13;S_9;S_14;S_11;C_14;C_9;S_10;S_6;C_1;S_4;C_10;C_6;C_11;C_4
JOB ID;0;12;2;2;7;8;12;0;3;1;8;7;3;5;13;5;13;9;14;11;14;9;10;6;1;4;10;6;11;4
EVENT TYPE;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;0;1;1;1;1
TIME;0.0;0.0;0.051549198605413515;3.143295019157088;3.143295019157088;3.143295019157088;3.143295019157088;3.8;4.95;5.19;5.41;5.5803874463472285;6.9;6.9;7.72;10.65;10.65;10.98;11.856209677419358;13.24;13.58;14.395522290499091;14.395522290499091;14.61;15.61;16.46;17.058276965890194;17.218050847457626;17.47;19.28851597250303
RESOURCE JOB 0;0.9428348424930132;0.0;30.73000806938438;0.0;0.0;0.4071570881226052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2925999999999993;0.2266153036418137;2.429821405812177;0.0;31.818500000000014;5.1414999999999935;0.0;16.5;1.1653588709677454;27.053504419578253;0.45220000000000127;1.0846446463637889;0.0;0.28525535363620946;1.3300000000000018;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;83.50999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.1704;8.113600000000002;0.08519372317361418;63.55080627682638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.270820069492613;1.407607896609079;2.2196720338982914;44.97190000000001;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.181499999999986;65.77850000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.439999999999998;8.024000000000001;5.647734558003435;1.508265441996567;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;6.4160076628352485;0.0;30.581284291187742;2.3447999999999993;2.1494;5.808508045977007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;26.01208429118774;0.0;26.918715708812258;0.4847999999999999;0.4443999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.64512500000017;8.690203225806428;6.568799999999985;23.84587177419342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.271328225806549;19.799999999999997;6.825500000000019;18.343171774193436;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.606200000000001;15.845598104397368;0.0;4.167301895602634;19.430000000000007;14.508999554426147;0.6521218928203112;3.104406518855228;4.895372033898298;0.0;0.0
RESOURCE JOB 12;0.6727170418006452;0.0;40.34728295819936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.72719999999999;3.3728000000000122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
