LABELS;S_11;S_7;S_2;C_11;S_13;C_13;S_5;C_7;S_8;S_0;C_2;C_5;C_0;S_4;S_3;C_8;S_6;C_4;S_12;C_3;C_12;S_1;S_10;C_6;S_14;S_9;C_9;C_10;C_1;C_14
JOB ID;11;7;2;11;13;13;5;7;8;0;2;5;0;4;3;8;6;4;12;3;12;1;10;6;14;9;9;10;1;14
EVENT TYPE;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;1
TIME;0.0;1.16;2.7185538208709845;2.7185538208709845;3.2126739294498186;4.66;4.77;4.77;5.68;6.4;6.4;7.81;8.97;8.97;9.96;9.96;12.7;12.96;13.0;13.589017357222847;15.09;16.17487172555293;16.17487172555293;16.55;17.14;17.78;20.17;20.17;20.65;20.818837638376387
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.603199999999994;0.0;24.896800000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.457292060223876;16.72059999999999;18.13760000000002;9.991307939776208;0.0;13.603199999999902;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;2.7176605971835883;11.519739402816434;0.6049999999999969;0.0;19.255600000000015;12.561999999999962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.62464728443446;0.0;1.8382000000000147;0.2827999999999804;4.164352715565542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.97240000000005;62.74819999999994;0.0;2.649400000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.244399999999985;19.161200000000036;40.66439999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.623200000000054;1.1727999999999952;17.26998891377383;1.0056583706606914;31.808438993211894;0.0;8.959913722353583;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;58.96009104354935;0.0;21.988344831758106;0.5065641246925636;4.894999999999975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2768000000000015;19.232400000000005;0.0;33.10320000000005;0.0;34.52759999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.81;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3392079397760455;2.1062999999999974;2.284800000000004;7.899692060223954;0.0;0.0;0.0;0.0
RESOURCE JOB 11;34.822400000000115;18.967599999999884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.016526231803027;74.04347376819698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;60.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.937600000000003;9.799000000000007;0.0;5.203199999999953;1.830200000000037;0.0
