LABELS;S_10;S_13;S_5;C_13;S_18;S_15;S_8;C_5;C_10;S_12;S_0;C_8;C_12;C_18;S_3;S_4;C_0;S_7;S_6;C_6;S_9;S_11;C_15;C_3;S_16;C_4;C_7;S_14;S_19;C_11;S_1;S_17;S_2;C_9;C_14;C_16;C_1;C_17;C_2;C_19
JOB ID;10;13;5;13;18;15;8;5;10;12;0;8;12;18;3;4;0;7;6;6;9;11;15;3;16;4;7;14;19;11;1;17;2;9;14;16;1;17;2;19
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1
TIME;3.07;3.07;5.23;5.23;7.099999999999999;7.1;8.11777087965099;9.54;9.54;9.54;11.283225806451611;11.283225806451611;11.283225806451611;11.283225806451611;12.498301282348883;12.498301282348883;13.427319362650827;13.427319362650827;14.230990615224192;16.28;16.28;16.28;16.28;16.280000000000005;16.49;18.38;18.45;18.55;18.55;20.938942485879462;21.07;21.07;23.301974723538706;23.301974723538706;23.301974723538706;24.704689265536718;25.796249448566698;26.39943802372528;26.952074447848457;32.53
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.584828487069785;0.0;0.0;0.0;7.785171512930219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.955286327269256;0.0;0.0;0.0;31.490941467855386;32.233772204875365;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.990945778777359;12.443786086541763;6.8763497568078265;26.708918377873054;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.669497958118086;0.0;0.0;1.9529211437532723;40.03758089812862;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.515027870267446;0.0;0.0;3.9058422875065446;23.440729842225977;0.0;0.0;0.0;3.422999999999945;0.0;9.185400000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;14.519199999999998;0.0;5.160098359830528;0.0;7.210701640169475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.650000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.583138807225467;7.233003128258609;0.0;0.0;0.0;4.682999999999964;0.0;49.57445806451601;2.2063999999999595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;10.93694193548387;0.0;0.0;5.003058064516129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2284999999999826;0.0;11.0565;0.4095000000000084;0.585000000000008;0.0;13.97531354239483;4.576528393089241;25.468658064515928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;12.010000000000005;0.0;2.761599999999996;0.0;1.3841683963253484;0.0;1.934231603674652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1654999999999944;0.0;11.302441935484111;0.3885000000000076;3.7069999999999936;0.0;69.4465580645159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;95.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.122005935616983;0.8295940643830022;14.128400000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 15;0.0;0.0;0.0;0.0;6.0048481899408515;0.0;10.519151810059142;0.0;0.0;10.285032258064504;7.168945307793905;0.0;0.0;0.0;5.481206673781472;0.0;0.0;4.741660390182858;12.089155370177266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.381199999999993;0.49560000000002447;0.7079999999999984;0.0;16.913712800026588;0.9278871999734122;15.802381042654048;0.0;0.0;0.0;9.931218957345934;0.0;0.0;0.0;0.0;0.0
