LABELS;S_19;S_18;S_1;C_1;S_7;S_12;S_15;C_7;C_18;S_4;S_14;S_5;S_13;S_10;C_12;C_4;S_11;C_15;C_13;S_3;C_5;C_19;C_11;S_2;C_10;C_14;S_16;S_17;S_9;S_0;C_3;S_6;S_8;C_16;C_2;C_0;C_6;C_17;C_8;C_9
JOB ID;19;18;1;1;7;12;15;7;18;4;14;5;13;10;12;4;11;15;13;3;5;19;11;2;10;14;16;17;9;0;3;6;8;16;2;0;6;17;8;9
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1
TIME;0.0;0.37;0.37733263046916177;2.4;3.14;3.6499999999999995;3.65;4.56;4.56;5.18;6.9;7.07;8.202405151409675;8.369999999999997;8.369999999999997;8.37;8.37;8.37;10.12;11.9;13.09;13.75;13.750000000000002;13.832954990215258;13.84;13.840000000000002;15.09;15.409999999999997;15.41;16.41;16.41;17.17;17.17;17.17;18.027823765020027;20.11803370786517;20.11803370786517;20.11803370786517;22.91;22.91
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9824000000000126;4.494996528704931;0.0;0.0;24.642603471295054;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;38.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036000000000029786;18.724999999999994;0.0;1.6351999999999975;5.110000000000014;0.0;0.0;3.8836000000000013;12.850199999999965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.402700000000038;5.4054;0.0;0.6794013698629442;0.057698630137039686;33.55000000000001;0.0;2.6208000000000027;15.683999999999969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.618;0.44200000000000017;2.9442533936651536;0.4357466063348454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.243931778628536;0.2530682213713891;2.642500000000002;0.0;0.0;0.0;0.0;20.3001;37.780399999999965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.107705206942597;0.0;0.0;14.882294793057401;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;7.466399999999986;0.0;13.173600000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.633360881174895;0.0;0.0;23.473057658150935;0.0;0.0;42.17358146067417;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10000000000000053;0.0;0.0;0.07600000000000029;0.08578237650200249;0.0;0.0;0.20902099428451426;0.0;0.0;26.30919662921348;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3950000000000067;0.0;0.0;0.0;0.0;3.754932876712342;2.308600000000002;1.2804000000000002;0.0;0.3873998043052467;0.013667318982403032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.162500000000005;0.0;0.0;0.0;0.0;13.34139999999999;3.5105000000000004;20.8956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;2.4388000000000005;5.07769999999995;0.0;18.17390000000005;0.45560000000000045;3.034845805777927;0.44915419422207137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.814999999999969;68.21500000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.453600000000005;2.0836254785938007;0.3083745214061988;3.2200000000000024;0.0;0.0;0.0;0.0;46.65516712328771;2.1895999999999987;3.5838000000000036;0.0;3.080948336594574;0.24488454011777705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 15;0.0;0.0;0.0;0.0;0.0;0.0;25.728899999999953;7.117700000000056;0.0;16.95920000000001;1.6761999999999944;11.165514792899387;1.6524852071005967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.744;29.05600000000012;-2.2737367544323206e-13;0.0;30.0200000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050000000000000266;0.0;0.0;0.038000000000000145;0.042891188251001244;0.0;0.0;14.029108811748998;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 18;0.0;0.1712902477596181;47.249509752240385;5.176700000000025;11.913599999999974;0.0;1.6288999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 19;11.2221;0.19534127569847115;8.011258724301571;2.057200000000001;1.417799999999998;0.0;2.5298;18.804600000000022;0.0;6.248899999999942;0.4725999999999999;3.148086320918896;0.46591367908110115;4.865000000000002;0.0;0.0;0.0;0.0;4.948400000000007;3.3081999999999994;1.8347999999999942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
