LABELS;S_6;S_5;S_4;C_5;S_15;S_18;C_4;C_6;S_17;C_17;S_12;S_14;C_15;S_2;S_0;C_18;S_11;C_11;C_12;S_13;C_14;C_0;S_19;S_1;C_13;C_19;C_1;C_2;S_10;S_9;C_10;S_16;S_8;C_9;S_3;S_7;C_3;C_8;C_16;C_7
JOB ID;6;5;4;5;15;18;4;6;17;17;12;14;15;2;0;18;11;11;12;13;14;0;19;1;13;19;1;2;10;9;10;16;8;9;3;7;3;8;16;7
EVENT TYPE;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;1
TIME;0.0;0.09272185824895746;1.92;1.92;1.9200000000000002;1.9200000000000002;3.82;4.683834269365445;4.9;6.192184724689166;6.192184724689167;6.36;6.36;7.1022606482871655;7.26;7.6;9.87;11.87;11.87;11.87;12.294703748488514;12.684720785169684;12.684720785169686;14.334956941095419;14.334956941095419;14.57;15.46;15.46;15.46;20.52;20.52;20.52;21.7;23.10173555840821;23.101735558408212;23.101735558408212;26.58;26.580000000000002;26.64;27.55
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1212000000000018;37.16323380882908;18.36;0.0;0.0;5.075209794437768;3.5803563967331513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.823299999999989;0.0;25.836700000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0161661911709245;2.0977999999999994;14.005899999999997;12.340000000000003;0.0;0.0;2.620422128174141;6.712193201282929;47.04920456273413;0.0;3.8970139166378743;0.0;5.491299999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.11;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;30.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;2.063988564621793;15.385681953543777;0.0;0.0;0.0;23.145810524536643;9.804518957297788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
