LABELS;S_9;S_15;S_8;C_9;C_8;S_17;C_15;S_11;C_17;S_16;S_14;S_19;S_4;C_14;C_11;S_12;C_19;C_4;S_13;S_6;C_16;C_12;S_7;S_2;S_3;S_10;C_13;C_6;C_7;C_2;S_1;S_5;S_18;C_3;S_0;C_5;C_18;C_1;C_10;C_0
JOB ID;9;15;8;9;8;17;15;11;17;16;14;19;4;14;11;12;19;4;13;6;16;12;7;2;3;10;13;6;7;2;1;5;18;3;0;5;18;1;10;0
EVENT TYPE;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1
TIME;0.0;0.0;0.8656617451737372;1.6545774647887328;2.72;2.72;3.15;4.184568;4.184568;5.14;5.23;5.23;6.280506024096385;7.63;8.16;8.16;8.16;10.03;10.03;10.827142857142853;10.827142857142853;11.65;11.94;14.57;15.41;15.41;15.410000000000002;15.519999999999998;15.52;16.742256329822983;18.72223880597015;18.72223880597015;20.34958668361468;20.49;22.874323365869625;22.874323365869625;22.874323365869625;22.92;22.92;27.0
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3485127184147814;0.0;0.0;0.0;18.74148728158522;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.361292312087343;0.376307687912643;6.3899866205306;0.122413379469414;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.76480000000005;0.0;0.0;3.375900000000037;54.54929999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15399999999999636;1.7111588617521776;0.0;2.7719754666060368;0.0;20.306287028702354;0.19657864293944272;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0909445783133;16.015055421686682;0.0;40.60400000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.23924346718786;1.196321455602913;20.314435077209225;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.912000000000049;2.435999999999993;22.092;7.055999999999983;0.0;0.0;0.9239999999999782;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
