LABELS;S_12;S_13;S_3;C_12;C_3;S_18;C_13;S_19;S_0;S_5;C_19;C_18;C_5;S_16;S_1;S_8;C_16;C_1;S_11;C_0;S_2;C_8;S_10;S_4;C_10;C_4;S_6;S_9;S_14;C_2;S_7;C_14;S_15;S_17;C_11;C_9;C_7;C_15;C_17;C_6
JOB ID;12;13;3;12;3;18;13;19;0;5;19;18;5;16;1;8;16;1;11;0;2;8;10;4;10;4;6;9;14;2;7;14;15;17;11;9;7;15;17;6
EVENT TYPE;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1
TIME;0.93;2.11;2.3444325971058646;3.44;3.98;3.98;5.34;5.34;5.643488992661715;5.643488992661715;6.9199999999999235;6.92;7.02;7.02;8.13;10.18610341643582;10.18610341643582;11.489999999999998;11.49;11.849999999999998;11.85;11.85;11.85;12.72;13.52;14.82;14.899999999999999;14.899999999999999;14.9;16.906944444444445;16.906944444444445;16.906944444444445;16.90694444444445;16.90694444444445;17.399937888198764;18.99;20.18;20.18;23.21;24.69
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.580499533020706;1.6200374375330284e-12;2.100999999999999;0.0;5.239200000000004;14.960833246294307;27.39486722068341;0.0;0.0;7.563599999999951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.01513757549671;6.664862424503291;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.275699999999972;1.4319999999999986;20.305500000000023;2.3815999999999917;0.0;22.505200000000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;28.769599999999997;14.180400000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.097500000000043;36.32249999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.654999999999667;3.410605131648481e-13;1.664999999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0706250000000033;0.0;0.0;0.0;0.0;0.7542799689441004;0.0;2.432795031055889;1.8207000000000022;0.0;4.6358999999999995;9.365700000000004;0.0
