LABELS;S_19;S_6;C_19;S_0;S_4;C_0;C_6;S_9;C_4;C_9;S_14;S_13;S_7;S_11;S_18;C_14;S_16;S_17;C_11;C_16;C_7;C_18;S_1;S_12;S_10;C_1;C_12;C_17;C_13;S_15;S_2;C_10;S_8;S_5;C_15;C_2;C_5;S_3;C_8;C_3
JOB ID;19;6;19;0;4;0;6;9;4;9;14;13;7;11;18;14;16;17;11;16;7;18;1;12;10;1;12;17;13;15;2;10;8;5;15;2;5;3;8;3
EVENT TYPE;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1
TIME;0.0;1.67;1.67;1.82;2.68;4.29;4.29;5.15;6.5;7.794100580270794;10.21;12.76;13.340021984352267;13.87;14.439999999999998;14.44;15.7507574704656;15.85272556390977;16.48;17.06;17.654532900081236;17.654532900081236;17.92;19.049999999999997;19.05;19.82;20.4;20.4;20.75;20.89;21.57;21.57;21.75;22.55;25.51;25.91;25.91;26.28;26.28;28.227400000000003
RESOURCE JOB 0;0.0;0.0;0.0;34.8472;23.9328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.915599999999998;4.474400000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6055999999999813;7.136000000000024;43.52239999999995;12.956000000000046;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.37;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;28.307500000000005;18.158500000000004;0.0;36.50399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.124000000000017;3.055999999999983;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;2.887500000000003;0.0;8.1528;28.259699999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
