LABELS;S_6;S_9;S_11;S_5;S_4;C_9;C_11;C_6;S_0;C_5;S_2;C_4;S_13;C_0;S_17;C_13;S_16;C_17;S_1;S_8;C_2;S_7;C_8;S_14;C_1;C_16;C_14;S_10;S_18;C_18;S_3;C_7;S_15;C_3;S_12;C_12;C_10;C_15;S_19;C_19
JOB ID;6;9;11;5;4;9;11;6;0;5;2;4;13;0;17;13;16;17;1;8;2;7;8;14;1;16;14;10;18;18;3;7;15;3;12;12;10;15;19;19
EVENT TYPE;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1;0;1
TIME;0.0;0.0;0.7378947368421049;2.276055363321799;3.52;3.58;3.5800000000000005;3.71;4.42;4.42;4.476196808510632;6.04;6.04;6.29;6.29;7.995524344569289;9.716439232409382;9.716439232409382;9.96;11.442183685184755;13.21;14.12932194885035;14.12932194885035;14.23;14.6;14.62;16.406187272217547;17.2;18.17;19.501537708129288;20.2;20.2;21.4;22.29;23.532858722698364;24.549999999999997;24.55;25.750526;33.45;36.72
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3054518617019824;0.0;19.227048138298013;0.0;5.8075000000000045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.669525477401095;25.84547452259889;5.856080814176735;1.471913107807893;0.0;3.0170060780153847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.879900000000028;0.0;0.9399999999999977;0.0;6.412771535580529;7.395787880642718;11.230586993603481;0.0;46.67396424646793;6.646989343705329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.875999999999976;0.0;27.434000000000026;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;1.3692000000000206;4.392700000000004;0.0;25.240500000000004;1.5043885638295933;0.0;53.08321143617038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;17.975000000000005;0.8670000000000044;1.8784999999999954;0.0;10.259499999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;24.055368421052624;0.0;50.14403642323802;11.426195155709348;0.1056000000000008;0.22880000000000056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
