LABELS;S_6;S_11;S_19;S_5;C_6;C_11;C_19;S_16;C_5;S_9;C_9;S_12;S_15;S_8;C_12;S_4;S_7;C_8;C_16;S_0;C_15;C_4;S_17;C_7;S_14;S_10;C_17;S_18;C_0;S_3;S_1;C_14;S_2;C_1;C_3;C_2;S_13;C_18;C_10;C_13
JOB ID;6;11;19;5;6;11;19;16;5;9;9;12;15;8;12;4;7;8;16;0;15;4;17;7;14;10;17;18;0;3;1;14;2;1;3;2;13;18;10;13
EVENT TYPE;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;1;1;1
TIME;0.0;0.0;3.196793743890517;4.84;4.84;4.84;4.84;7.08;7.987190584662111;7.987190584662111;9.89;9.89;10.65;11.42;11.76;12.35;13.206666666666665;13.206666666666665;13.206666666666665;14.959999999999939;14.96;15.14;17.619361233480177;17.99;18.710172570390345;19.29;19.29;19.290000000000003;19.58;20.25;20.96;21.19572725042918;21.48;23.47;23.47;24.101339645800433;26.41;26.61;28.05328717639976;28.05328717639976
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1368683772161603e-13;0.34199999999999875;60.99228634361235;0.7042136563876653;1.3683278837416568;1.1016721162583423;9.961499999999873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.136496786852071;4.30060321314798;45.19289999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.086466666667626;0.0;24.003533333332378;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.599800000000016;0.6223199411330356;6.507446725534521;5.380433333332427;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.18599999999985;0.0;0.0;63.61799999999788;2.2737367544323206e-12;4.0859999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;47.4208;0.0;0.0;0.0;17.669200000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;63.00124144672532;0.0;14.328758553274685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.842466666666056;1.5347723092418164e-12;4.572000000000003;62.97577533039647;6.359758002936019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0400000000000063;3.539999999999992;5.140000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
